CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006624CCPF;01/09/22;1;0,201;R
ES0000000000006624CCPF;01/09/22;2;0,109;R
ES0000000000006624CCPF;01/09/22;3;0,144;R
ES0000000000006624CCPF;01/09/22;4;0,167;R
ES0000000000006624CCPF;01/09/22;5;0,106;R
ES0000000000006624CCPF;01/09/22;6;0,183;R
ES0000000000006624CCPF;01/09/22;7;0,124;R
ES0000000000006624CCPF;01/09/22;8;0,123;R
ES0000000000006624CCPF;01/09/22;9;0,18;R
ES0000000000006624CCPF;01/09/22;10;0,105;R
ES0000000000006624CCPF;01/09/22;11;0,171;R
ES0000000000006624CCPF;01/09/22;12;0,128;R
ES0000000000006624CCPF;01/09/22;13;0,116;R
ES0000000000006624CCPF;01/09/22;14;0,183;R
ES0000000000006624CCPF;01/09/22;15;0,105;R
ES0000000000006624CCPF;01/09/22;16;0,169;R
ES0000000000006624CCPF;01/09/22;17;0,134;R
ES0000000000006624CCPF;01/09/22;18;0,111;R
ES0000000000006624CCPF;01/09/22;19;0,191;R
ES0000000000006624CCPF;01/09/22;20;0,106;R
ES0000000000006624CCPF;01/09/22;21;0,166;R
ES0000000000006624CCPF;01/09/22;22;0,135;R
ES0000000000006624CCPF;01/09/22;23;0,109;R
ES0000000000006624CCPF;02/09/22;0;0,195;R
ES0000000000006624CCPF;02/09/22;1;0,105;R
ES0000000000006624CCPF;02/09/22;2;0,164;R
ES0000000000006624CCPF;02/09/22;3;0,14;R
ES0000000000006624CCPF;02/09/22;4;0,105;R
ES0000000000006624CCPF;02/09/22;5;0,195;R
ES0000000000006624CCPF;02/09/22;6;0,105;R
ES0000000000006624CCPF;02/09/22;7;0,162;R
ES0000000000006624CCPF;02/09/22;8;0,142;R
ES0000000000006624CCPF;02/09/22;9;0,105;R
ES0000000000006624CCPF;02/09/22;10;0,192;R
ES0000000000006624CCPF;02/09/22;11;0,105;R
ES0000000000006624CCPF;02/09/22;12;0,159;R
ES0000000000006624CCPF;02/09/22;13;0,146;R
ES0000000000006624CCPF;02/09/22;14;0,147;R
ES0000000000006624CCPF;02/09/22;15;0,19;R
ES0000000000006624CCPF;02/09/22;16;0,106;R
ES0000000000006624CCPF;02/09/22;17;0,166;R
ES0000000000006624CCPF;02/09/22;18;0,13;R
ES0000000000006624CCPF;02/09/22;19;0,114;R
ES0000000000006624CCPF;02/09/22;20;0,184;R
ES0000000000006624CCPF;02/09/22;21;0,105;R
ES0000000000006624CCPF;02/09/22;22;0,17;R
ES0000000000006624CCPF;02/09/22;23;0,131;R
ES0000000000006624CCPF;03/09/22;0;0,111;R
ES0000000000006624CCPF;03/09/22;1;0,191;R
ES0000000000006624CCPF;03/09/22;2;0,104;R
ES0000000000006624CCPF;03/09/22;3;0,165;R
ES0000000000006624CCPF;03/09/22;4;0,136;R
ES0000000000006624CCPF;03/09/22;5;0,106;R
ES0000000000006624CCPF;03/09/22;6;0,193;R
ES0000000000006624CCPF;03/09/22;7;0,108;R
ES0000000000006624CCPF;03/09/22;8;0,161;R
ES0000000000006624CCPF;03/09/22;9;0,135;R
ES0000000000006624CCPF;03/09/22;10;0,13;R
ES0000000000006624CCPF;03/09/22;11;0,203;R
ES0000000000006624CCPF;03/09/22;12;0,105;R
ES0000000000006624CCPF;03/09/22;13;0,169;R
ES0000000000006624CCPF;03/09/22;14;0,121;R
ES0000000000006624CCPF;03/09/22;15;0,121;R
ES0000000000006624CCPF;03/09/22;16;0,171;R
ES0000000000006624CCPF;03/09/22;17;0,105;R
ES0000000000006624CCPF;03/09/22;18;0,177;R
ES0000000000006624CCPF;03/09/22;19;0,115;R
ES0000000000006624CCPF;03/09/22;20;0,13;R
ES0000000000006624CCPF;03/09/22;21;0,163;R
ES0000000000006624CCPF;03/09/22;22;0,105;R
ES0000000000006624CCPF;03/09/22;23;0,179;R
ES0000000000006624CCPF;04/09/22;0;0,113;R
ES0000000000006624CCPF;04/09/22;1;0,131;R
