CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000002264CCPF;01/09/2022;1;0,077;R
ES0000000000002264CCPF;01/09/2022;2;0,021;R
ES0000000000002264CCPF;01/09/2022;3;0,083;R
ES0000000000002264CCPF;01/09/2022;4;0,099;R
ES0000000000002264CCPF;01/09/2022;5;0,02;R
ES0000000000002264CCPF;01/09/2022;6;0,074;R
ES0000000000002264CCPF;01/09/2022;7;0,076;R
ES0000000000002264CCPF;01/09/2022;8;0,021;R
ES0000000000002264CCPF;01/09/2022;9;0,094;R
ES0000000000002264CCPF;01/09/2022;10;0,193;R
ES0000000000002264CCPF;01/09/2022;11;0,027;R
ES0000000000002264CCPF;01/09/2022;12;0,102;R
ES0000000000002264CCPF;01/09/2022;13;0,107;R
ES0000000000002264CCPF;01/09/2022;14;0,086;R
ES0000000000002264CCPF;01/09/2022;15;0,106;R
ES0000000000002264CCPF;01/09/2022;16;0,115;R
ES0000000000002264CCPF;01/09/2022;17;0,105;R
ES0000000000002264CCPF;01/09/2022;18;0,109;R
ES0000000000002264CCPF;01/09/2022;19;0,026;R
ES0000000000002264CCPF;01/09/2022;20;0,101;R
ES0000000000002264CCPF;01/09/2022;21;0,084;R
ES0000000000002264CCPF;01/09/2022;22;0,021;R
ES0000000000002264CCPF;01/09/2022;23;0,092;R
ES0000000000002264CCPF;02/09/2022;0;0,086;R
ES0000000000002264CCPF;02/09/2022;1;0,023;R
ES0000000000002264CCPF;02/09/2022;2;0,115;R
ES0000000000002264CCPF;02/09/2022;3;0,044;R
ES0000000000002264CCPF;02/09/2022;4;0,025;R
ES0000000000002264CCPF;02/09/2022;5;0,12;R
ES0000000000002264CCPF;02/09/2022;6;0,021;R
ES0000000000002264CCPF;02/09/2022;7;0,048;R
ES0000000000002264CCPF;02/09/2022;8;0,088;R
ES0000000000002264CCPF;02/09/2022;9;0,021;R
ES0000000000002264CCPF;02/09/2022;10;0,08;R
ES0000000000002264CCPF;02/09/2022;11;0,21;R
ES0000000000002264CCPF;02/09/2022;12;0,03;R
ES0000000000002264CCPF;02/09/2022;13;0,07;R
ES0000000000002264CCPF;02/09/2022;14;0,12;R
