CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004219CCPF;01/09/2022;1;0,1;R
ES0000000000004219CCPF;01/09/2022;2;0,115;R
ES0000000000004219CCPF;01/09/2022;3;0,123;R
ES0000000000004219CCPF;01/09/2022;4;0,09;R
ES0000000000004219CCPF;01/09/2022;5;0,156;R
ES0000000000004219CCPF;01/09/2022;6;0,155;R
ES0000000000004219CCPF;01/09/2022;7;0,123;R
ES0000000000004219CCPF;01/09/2022;8;0,098;R
ES0000000000004219CCPF;01/09/2022;9;0,389;R
ES0000000000004219CCPF;01/09/2022;10;0,111;R
ES0000000000004219CCPF;01/09/2022;11;0,14;R
ES0000000000004219CCPF;01/09/2022;12;0,14;R
ES0000000000004219CCPF;01/09/2022;13;0,097;R
ES0000000000004219CCPF;01/09/2022;14;0,32;R
ES0000000000004219CCPF;01/09/2022;15;0,226;R
ES0000000000004219CCPF;01/09/2022;16;0,161;R
ES0000000000004219CCPF;01/09/2022;17;0,148;R
ES0000000000004219CCPF;01/09/2022;18;0,588;R
ES0000000000004219CCPF;01/09/2022;19;0,165;R
ES0000000000004219CCPF;01/09/2022;20;0,297;R
ES0000000000004219CCPF;01/09/2022;21;0,206;R
ES0000000000004219CCPF;01/09/2022;22;0,152;R
ES0000000000004219CCPF;01/09/2022;23;0,14;R
ES0000000000004219CCPF;02/09/2022;0;0,14;R
ES0000000000004219CCPF;02/09/2022;1;0,138;R
ES0000000000004219CCPF;02/09/2022;2;0,086;R
ES0000000000004219CCPF;02/09/2022;3;0,06;R
ES0000000000004219CCPF;02/09/2022;4;0,111;R
ES0000000000004219CCPF;02/09/2022;5;0,11;R
ES0000000000004219CCPF;02/09/2022;6;1,192;R
ES0000000000004219CCPF;02/09/2022;7;0,577;R
ES0000000000004219CCPF;02/09/2022;8;0,061;R
ES0000000000004219CCPF;02/09/2022;9;0,274;R
ES0000000000004219CCPF;02/09/2022;10;0,22;R
ES0000000000004219CCPF;02/09/2022;11;0,143;R
ES0000000000004219CCPF;02/09/2022;12;0,15;R
ES0000000000004219CCPF;02/09/2022;13;0,107;R
ES0000000000004219CCPF;02/09/2022;14;0,307;R
ES0000000000004219CCPF;02/09/2022;15;0,217;R
ES0000000000004219CCPF;02/09/2022;16;0,095;R
ES0000000000004219CCPF;02/09/2022;17;0,168;R
ES0000000000004219CCPF;02/09/2022;18;0,162;R
ES0000000000004219CCPF;02/09/2022;19;0,076;R
ES0000000000004219CCPF;02/09/2022;20;0,092;R
ES0000000000004219CCPF;02/09/2022;21;0,053;R
ES0000000000004219CCPF;02/09/2022;22;0,095;R
ES0000000000004219CCPF;02/09/2022;23;0,208;R
ES0000000000004219CCPF;03/09/2022;0;0,192;R
ES0000000000004219CCPF;03/09/2022;1;0,178;R
ES0000000000004219CCPF;03/09/2022;2;0,131;R
ES0000000000004219CCPF;03/09/2022;3;0,108;R
ES0000000000004219CCPF;03/09/2022;4;0,069;R
ES0000000000004219CCPF;03/09/2022;5;0,127;R
ES0000000000004219CCPF;03/09/2022;6;0,068;R
ES0000000000004219CCPF;03/09/2022;7;0,095;R
ES0000000000004219CCPF;03/09/2022;8;0,089;R
ES0000000000004219CCPF;03/09/2022;9;0,075;R
ES0000000000004219CCPF;03/09/2022;10;0,165;R
ES0000000000004219CCPF;03/09/2022;11;0,372;R
ES0000000000004219CCPF;03/09/2022;12;0,257;R
ES0000000000004219CCPF;03/09/2022;13;0,057;R
ES0000000000004219CCPF;03/09/2022;14;0,032;R
ES0000000000004219CCPF;03/09/2022;15;0,086;R
ES0000000000004219CCPF;03/09/2022;16;0,122;R
ES0000000000004219CCPF;03/09/2022;17;0,175;R
ES0000000000004219CCPF;03/09/2022;18;0,192;R
ES0000000000004219CCPF;03/09/2022;19;0,139;R
ES0000000000004219CCPF;03/09/2022;20;0,156;R
ES0000000000004219CCPF;03/09/2022;21;0,119;R
ES0000000000004219CCPF;03/09/2022;22;0,082;R
ES0000000000004219CCPF;03/09/2022;23;0,139;R
ES0000000000004219CCPF;04/09/2022;0;0,174;R
