CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000002025CCPF;01/09/2022;1;0,202;R
ES0000000000002025CCPF;01/09/2022;2;0,193;R
ES0000000000002025CCPF;01/09/2022;3;0,105;R
ES0000000000002025CCPF;01/09/2022;4;0,105;R
ES0000000000002025CCPF;01/09/2022;5;0,284;R
ES0000000000002025CCPF;01/09/2022;6;0,055;R
ES0000000000002025CCPF;01/09/2022;7;0,141;R
ES0000000000002025CCPF;01/09/2022;8;0,242;R
ES0000000000002025CCPF;01/09/2022;9;0,081;R
ES0000000000002025CCPF;01/09/2022;10;1,206;R
ES0000000000002025CCPF;01/09/2022;11;0,206;R
ES0000000000002025CCPF;01/09/2022;12;0,138;R
ES0000000000002025CCPF;01/09/2022;13;0,166;R
ES0000000000002025CCPF;01/09/2022;14;0,212;R
ES0000000000002025CCPF;01/09/2022;15;0,986;R
ES0000000000002025CCPF;01/09/2022;16;0,674;R
ES0000000000002025CCPF;01/09/2022;17;0,13;R
ES0000000000002025CCPF;01/09/2022;18;0,174;R
ES0000000000002025CCPF;01/09/2022;19;0,39;R
ES0000000000002025CCPF;01/09/2022;20;0,085;R
ES0000000000002025CCPF;01/09/2022;21;0,202;R
ES0000000000002025CCPF;01/09/2022;22;0,242;R
ES0000000000002025CCPF;01/09/2022;23;0,412;R
ES0000000000002025CCPF;02/09/2022;0;0,351;R
ES0000000000002025CCPF;02/09/2022;1;0,039;R
ES0000000000002025CCPF;02/09/2022;2;0,26;R
ES0000000000002025CCPF;02/09/2022;3;0,094;R
ES0000000000002025CCPF;02/09/2022;4;0,067;R
ES0000000000002025CCPF;02/09/2022;5;0,266;R
ES0000000000002025CCPF;02/09/2022;6;0,04;R
ES0000000000002025CCPF;02/09/2022;7;0,121;R
ES0000000000002025CCPF;02/09/2022;8;0,654;R
ES0000000000002025CCPF;02/09/2022;9;0,542;R
ES0000000000002025CCPF;02/09/2022;10;0,319;R
ES0000000000002025CCPF;02/09/2022;11;0,095;R
ES0000000000002025CCPF;02/09/2022;12;0,452;R
ES0000000000002025CCPF;02/09/2022;13;0,137;R
ES0000000000002025CCPF;02/09/2022;14;0,173;R
ES0000000000002025CCPF;02/09/2022;15;0,163;R
ES0000000000002025CCPF;02/09/2022;16;0,368;R
ES0000000000002025CCPF;02/09/2022;17;0,107;R
ES0000000000002025CCPF;02/09/2022;18;0,383;R
ES0000000000002025CCPF;02/09/2022;19;0,175;R
ES0000000000002025CCPF;02/09/2022;20;0,061;R
ES0000000000002025CCPF;02/09/2022;21;0,284;R
ES0000000000002025CCPF;02/09/2022;22;0,408;R
ES0000000000002025CCPF;02/09/2022;23;0,113;R
ES0000000000002025CCPF;03/09/2022;0;0,361;R
ES0000000000002025CCPF;03/09/2022;1;0,355;R
ES0000000000002025CCPF;03/09/2022;2;0,304;R
ES0000000000002025CCPF;03/09/2022;3;0,271;R
ES0000000000002025CCPF;03/09/2022;4;0,252;R
ES0000000000002025CCPF;03/09/2022;5;0,242;R
ES0000000000002025CCPF;03/09/2022;6;0,238;R
ES0000000000002025CCPF;03/09/2022;7;0,243;R
ES0000000000002025CCPF;03/09/2022;8;0,256;R
ES0000000000002025CCPF;03/09/2022;9;0,284;R
ES0000000000002025CCPF;03/09/2022;10;0,351;R
ES0000000000002025CCPF;03/09/2022;11;0,402;R
ES0000000000002025CCPF;03/09/2022;12;0,42;R
ES0000000000002025CCPF;03/09/2022;13;0,432;R
ES0000000000002025CCPF;03/09/2022;14;0,461;R
ES0000000000002025CCPF;03/09/2022;15;0,461;R
ES0000000000002025CCPF;03/09/2022;16;0,414;R
ES0000000000002025CCPF;03/09/2022;17;0,385;R
ES0000000000002025CCPF;03/09/2022;18;0,377;R
ES0000000000002025CCPF;03/09/2022;19;0,377;R
ES0000000000002025CCPF;03/09/2022;20;0,377;R
ES0000000000002025CCPF;03/09/2022;21;0,425;R
ES0000000000002025CCPF;03/09/2022;22;0,486;R
ES0000000000002025CCPF;03/09/2022;23;0,451;R
ES0000000000002025CCPF;04/09/2022;0;0,404;R
ES0000000000002025CCPF;04/09/2022;1;0,353;R
ES0000000000002025CCPF;04/09/2022;2;0,307;R
ES0000000000002025CCPF;04/09/2022;3;0,275;R
ES0000000000002025CCPF;04/09/2022;4;0,254;R
ES0000000000002025CCPF;04/09/2022;5;0,243;R
ES0000000000002025CCPF;04/09/2022;6;0,238;R
ES0000000000002025CCPF;04/09/2022;7;0,239;R
ES0000000000002025CCPF;04/09/2022;8;0,203;R
ES0000000000002025CCPF;04/09/2022;9;0,153;R
ES0000000000002025CCPF;04/09/2022;10;0,711;R
ES0000000000002025CCPF;04/09/2022;11;0,292;R
ES0000000000002025CCPF;04/09/2022;12;0,251;R
ES0000000000002025CCPF;04/09/2022;13;0,136;R
ES0000000000002025CCPF;04/09/2022;14;0,252;R
ES0000000000002025CCPF;04/09/2022;15;0,316;R
ES0000000000002025CCPF;04/09/2022;16;0,113;R
ES0000000000002025CCPF;04/09/2022;17;0,061;R
ES0000000000002025CCPF;04/09/2022;18;0,163;R
ES0000000000002025CCPF;04/09/2022;19;0,186;R
ES0000000000002025CCPF;04/09/2022;20;0,148;R
ES0000000000002025CCPF;04/09/2022;21;0,863;R
ES0000000000002025CCPF;04/09/2022;22;1,091;R
ES0000000000002025CCPF;04/09/2022;23;0,635;R
ES0000000000002025CCPF;05/09/2022;0;0,146;R
ES0000000000002025CCPF;05/09/2022;1;0,174;R
ES0000000000002025CCPF;05/09/2022;2;0,232;R
ES0000000000002025CCPF;05/09/2022;3;0,083;R
ES0000000000002025CCPF;05/09/2022;4;0,137;R
ES0000000000002025CCPF;05/09/2022;5;0,042;R
ES0000000000002025CCPF;05/09/2022;6;0,275;R
ES0000000000002025CCPF;05/09/2022;7;0,056;R
ES0000000000002025CCPF;05/09/2022;8;0,102;R
ES0000000000002025CCPF;05/09/2022;9;1,016;R
ES0000000000002025CCPF;05/09/2022;10;0,728;R
ES0000000000002025CCPF;05/09/2022;11;0,466;R
ES0000000000002025CCPF;05/09/2022;12;0,223;R
ES0000000000002025CCPF;05/09/2022;13;0,194;R
ES0000000000002025CCPF;05/09/2022;14;0,572;R
ES0000000000002025CCPF;05/09/2022;15;0,545;R
ES0000000000002025CCPF;05/09/2022;16;0,686;R
ES0000000000002025CCPF;05/09/2022;17;0,06;R
