CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000000608CCPF;01/09/2022;1;0,178;R
ES0000000000000608CCPF;01/09/2022;2;0,364;R
ES0000000000000608CCPF;01/09/2022;3;0,835;R
ES0000000000000608CCPF;01/09/2022;4;0,127;R
ES0000000000000608CCPF;01/09/2022;5;0,108;R
ES0000000000000608CCPF;01/09/2022;6;0,095;R
ES0000000000000608CCPF;01/09/2022;7;0,29;R
ES0000000000000608CCPF;01/09/2022;8;0,137;R
ES0000000000000608CCPF;01/09/2022;9;0,318;R
ES0000000000000608CCPF;01/09/2022;10;0,127;R
ES0000000000000608CCPF;01/09/2022;11;0,169;R
ES0000000000000608CCPF;01/09/2022;12;0,154;R
ES0000000000000608CCPF;01/09/2022;13;0,145;R
ES0000000000000608CCPF;01/09/2022;14;0,155;R
ES0000000000000608CCPF;01/09/2022;15;0,152;R
ES0000000000000608CCPF;01/09/2022;16;0,153;R
ES0000000000000608CCPF;01/09/2022;17;0,161;R
ES0000000000000608CCPF;01/09/2022;18;0,164;R
ES0000000000000608CCPF;01/09/2022;19;0,163;R
ES0000000000000608CCPF;01/09/2022;20;0,548;R
ES0000000000000608CCPF;01/09/2022;21;0,271;R
ES0000000000000608CCPF;01/09/2022;22;0,433;R
ES0000000000000608CCPF;01/09/2022;23;0,197;R
ES0000000000000608CCPF;02/09/2022;0;0,184;R
ES0000000000000608CCPF;02/09/2022;1;0,191;R
ES0000000000000608CCPF;02/09/2022;2;0,174;R
ES0000000000000608CCPF;02/09/2022;3;0,165;R
ES0000000000000608CCPF;02/09/2022;4;0,174;R
ES0000000000000608CCPF;02/09/2022;5;0,16;R
ES0000000000000608CCPF;02/09/2022;6;0,133;R
ES0000000000000608CCPF;02/09/2022;7;0,238;R
ES0000000000000608CCPF;02/09/2022;8;0,187;R
ES0000000000000608CCPF;02/09/2022;9;0,308;R
ES0000000000000608CCPF;02/09/2022;10;0,111;R
ES0000000000000608CCPF;02/09/2022;11;0,124;R
ES0000000000000608CCPF;02/09/2022;12;0,172;R
ES0000000000000608CCPF;02/09/2022;13;0,147;R
ES0000000000000608CCPF;02/09/2022;14;0,132;R
ES0000000000000608CCPF;02/09/2022;15;0,189;R
ES0000000000000608CCPF;02/09/2022;16;0,144;R
ES0000000000000608CCPF;02/09/2022;17;0,134;R
ES0000000000000608CCPF;02/09/2022;18;0,103;R
ES0000000000000608CCPF;02/09/2022;19;0,471;R
ES0000000000000608CCPF;02/09/2022;20;0,564;R
ES0000000000000608CCPF;02/09/2022;21;0,243;R
ES0000000000000608CCPF;02/09/2022;22;0,207;R
ES0000000000000608CCPF;02/09/2022;23;0,144;R
ES0000000000000608CCPF;03/09/2022;0;0,164;R
ES0000000000000608CCPF;03/09/2022;1;0,171;R
ES0000000000000608CCPF;03/09/2022;2;0,165;R
ES0000000000000608CCPF;03/09/2022;3;0,125;R
ES0000000000000608CCPF;03/09/2022;4;0,12;R
ES0000000000000608CCPF;03/09/2022;5;0,092;R
ES0000000000000608CCPF;03/09/2022;6;0,097;R
ES0000000000000608CCPF;03/09/2022;7;0,096;R
ES0000000000000608CCPF;03/09/2022;8;0,094;R
ES0000000000000608CCPF;03/09/2022;9;0,077;R
ES0000000000000608CCPF;03/09/2022;10;0,259;R
ES0000000000000608CCPF;03/09/2022;11;0,11;R
ES0000000000000608CCPF;03/09/2022;12;0,37;R
ES0000000000000608CCPF;03/09/2022;13;0,16;R
ES0000000000000608CCPF;03/09/2022;14;0,163;R
ES0000000000000608CCPF;03/09/2022;15;0,128;R
ES0000000000000608CCPF;03/09/2022;16;0,101;R
ES0000000000000608CCPF;03/09/2022;17;0,107;R
ES0000000000000608CCPF;03/09/2022;18;0,091;R
ES0000000000000608CCPF;03/09/2022;19;0,095;R
ES0000000000000608CCPF;03/09/2022;20;0,111;R
ES0000000000000608CCPF;03/09/2022;21;0,128;R
ES0000000000000608CCPF;03/09/2022;22;0,152;R
ES0000000000000608CCPF;03/09/2022;23;0,103;R
