CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000003540CCPF;01/09/2022;1;0,049;R
ES0000000000003540CCPF;01/09/2022;2;0,069;R
ES0000000000003540CCPF;01/09/2022;3;0,07;R
ES0000000000003540CCPF;01/09/2022;4;0,047;R
ES0000000000003540CCPF;01/09/2022;5;0,074;R
ES0000000000003540CCPF;01/09/2022;6;0,102;R
ES0000000000003540CCPF;01/09/2022;7;0,06;R
ES0000000000003540CCPF;01/09/2022;8;0,116;R
ES0000000000003540CCPF;01/09/2022;9;0,086;R
ES0000000000003540CCPF;01/09/2022;10;0,061;R
ES0000000000003540CCPF;01/09/2022;11;0,07;R
ES0000000000003540CCPF;01/09/2022;12;0,043;R
ES0000000000003540CCPF;01/09/2022;13;0,068;R
ES0000000000003540CCPF;01/09/2022;14;0,057;R
ES0000000000003540CCPF;01/09/2022;15;0,052;R
ES0000000000003540CCPF;01/09/2022;16;0,07;R
ES0000000000003540CCPF;01/09/2022;17;0,042;R
ES0000000000003540CCPF;01/09/2022;18;0,067;R
ES0000000000003540CCPF;01/09/2022;19;0,079;R
ES0000000000003540CCPF;01/09/2022;20;0,165;R
ES0000000000003540CCPF;01/09/2022;21;0,152;R
ES0000000000003540CCPF;01/09/2022;22;0,155;R
ES0000000000003540CCPF;01/09/2022;23;0,207;R
ES0000000000003540CCPF;02/09/2022;0;0,06;R
ES0000000000003540CCPF;02/09/2022;1;0,069;R
ES0000000000003540CCPF;02/09/2022;2;0,075;R
ES0000000000003540CCPF;02/09/2022;3;0,059;R
ES0000000000003540CCPF;02/09/2022;4;0,059;R
ES0000000000003540CCPF;02/09/2022;5;0,074;R
ES0000000000003540CCPF;02/09/2022;6;0,167;R
ES0000000000003540CCPF;02/09/2022;7;0,079;R
ES0000000000003540CCPF;02/09/2022;8;0,071;R
ES0000000000003540CCPF;02/09/2022;9;0,043;R
ES0000000000003540CCPF;02/09/2022;10;0,065;R
ES0000000000003540CCPF;02/09/2022;11;0,06;R
ES0000000000003540CCPF;02/09/2022;12;0,049;R
ES0000000000003540CCPF;02/09/2022;13;0,07;R
ES0000000000003540CCPF;02/09/2022;14;0,045;R
ES0000000000003540CCPF;02/09/2022;15;0,063;R
ES0000000000003540CCPF;02/09/2022;16;0,059;R
ES0000000000003540CCPF;02/09/2022;17;0,05;R
ES0000000000003540CCPF;02/09/2022;18;0,07;R
ES0000000000003540CCPF;02/09/2022;19;0,07;R
ES0000000000003540CCPF;02/09/2022;20;0,169;R
ES0000000000003540CCPF;02/09/2022;21;0,17;R
ES0000000000003540CCPF;02/09/2022;22;0,154;R
ES0000000000003540CCPF;02/09/2022;23;0,102;R
ES0000000000003540CCPF;03/09/2022;0;0,055;R
ES0000000000003540CCPF;03/09/2022;1;0,068;R
ES0000000000003540CCPF;03/09/2022;2;0,069;R
ES0000000000003540CCPF;03/09/2022;3;0,05;R
ES0000000000003540CCPF;03/09/2022;4;0,074;R
ES0000000000003540CCPF;03/09/2022;5;0,091;R
ES0000000000003540CCPF;03/09/2022;6;0,105;R
ES0000000000003540CCPF;03/09/2022;7;0,071;R
ES0000000000003540CCPF;03/09/2022;8;0,204;R
ES0000000000003540CCPF;03/09/2022;9;0,319;R
ES0000000000003540CCPF;03/09/2022;10;0,118;R
ES0000000000003540CCPF;03/09/2022;11;0,119;R
ES0000000000003540CCPF;03/09/2022;12;0,098;R
ES0000000000003540CCPF;03/09/2022;13;0,073;R
ES0000000000003540CCPF;03/09/2022;14;0,071;R
ES0000000000003540CCPF;03/09/2022;15;0,221;R
ES0000000000003540CCPF;03/09/2022;16;0,195;R
ES0000000000003540CCPF;03/09/2022;17;0,136;R
ES0000000000003540CCPF;03/09/2022;18;0,212;R
ES0000000000003540CCPF;03/09/2022;19;0,444;R
ES0000000000003540CCPF;03/09/2022;20;0,198;R
ES0000000000003540CCPF;03/09/2022;21;0,102;R
ES0000000000003540CCPF;03/09/2022;22;0,103;R
ES0000000000003540CCPF;03/09/2022;23;0,069;R
ES0000000000003540CCPF;04/09/2022;0;0,05;R
ES0000000000003540CCPF;04/09/2022;1;0,074;R
ES0000000000003540CCPF;04/09/2022;2;0,123;R
ES0000000000003540CCPF;04/09/2022;3;0,078;R
ES0000000000003540CCPF;04/09/2022;4;0,074;R
ES0000000000003540CCPF;04/09/2022;5;0,085;R
ES0000000000003540CCPF;04/09/2022;6;0,067;R
ES0000000000003540CCPF;04/09/2022;7;0,059;R
ES0000000000003540CCPF;04/09/2022;8;0,071;R
ES0000000000003540CCPF;04/09/2022;9;0,11;R
ES0000000000003540CCPF;04/09/2022;10;0,081;R
ES0000000000003540CCPF;04/09/2022;11;0,117;R
ES0000000000003540CCPF;04/09/2022;12;0,782;R
ES0000000000003540CCPF;04/09/2022;13;0,573;R
ES0000000000003540CCPF;04/09/2022;14;0,129;R
ES0000000000003540CCPF;04/09/2022;15;0,144;R
ES0000000000003540CCPF;04/09/2022;16;0,135;R
ES0000000000003540CCPF;04/09/2022;17;0,066;R
ES0000000000003540CCPF;04/09/2022;18;0,06;R
ES0000000000003540CCPF;04/09/2022;19;0,116;R
