CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006751CCPF;01/09/22;1;2,098;R
ES0000000000006751CCPF;01/09/22;2;1,292;R
ES0000000000006751CCPF;01/09/22;3;1,394;R
ES0000000000006751CCPF;01/09/22;4;1,321;R
ES0000000000006751CCPF;01/09/22;5;1,359;R
ES0000000000006751CCPF;01/09/22;6;1,305;R
ES0000000000006751CCPF;01/09/22;7;1,359;R
ES0000000000006751CCPF;01/09/22;8;0,444;R
ES0000000000006751CCPF;01/09/22;9;0,299;R
ES0000000000006751CCPF;01/09/22;10;0,597;R
ES0000000000006751CCPF;01/09/22;11;2,312;R
ES0000000000006751CCPF;01/09/22;12;0,912;R
ES0000000000006751CCPF;01/09/22;13;1,07;R
ES0000000000006751CCPF;01/09/22;14;1,755;R
ES0000000000006751CCPF;01/09/22;15;1,356;R
ES0000000000006751CCPF;01/09/22;16;0,515;R
ES0000000000006751CCPF;01/09/22;17;0,34;R
ES0000000000006751CCPF;01/09/22;18;0,391;R
ES0000000000006751CCPF;01/09/22;19;0,561;R
ES0000000000006751CCPF;01/09/22;20;0,556;R
ES0000000000006751CCPF;01/09/22;21;0,709;R
ES0000000000006751CCPF;01/09/22;22;0,598;R
ES0000000000006751CCPF;01/09/22;23;0,513;R
ES0000000000006751CCPF;02/09/22;0;0,463;R
ES0000000000006751CCPF;02/09/22;1;0,361;R
ES0000000000006751CCPF;02/09/22;2;0,367;R
ES0000000000006751CCPF;02/09/22;3;0,394;R
ES0000000000006751CCPF;02/09/22;4;0,486;R
ES0000000000006751CCPF;02/09/22;5;0,549;R
ES0000000000006751CCPF;02/09/22;6;0,313;R
ES0000000000006751CCPF;02/09/22;7;0,316;R
ES0000000000006751CCPF;02/09/22;8;0,409;R
ES0000000000006751CCPF;02/09/22;9;0,396;R
ES0000000000006751CCPF;02/09/22;10;0,625;R
ES0000000000006751CCPF;02/09/22;11;1,021;R
ES0000000000006751CCPF;02/09/22;12;1,23;R
ES0000000000006751CCPF;02/09/22;13;1,478;R
ES0000000000006751CCPF;02/09/22;14;1,531;R
ES0000000000006751CCPF;02/09/22;15;3,473;R
ES0000000000006751CCPF;02/09/22;16;2,585;R
ES0000000000006751CCPF;02/09/22;17;2,345;R
ES0000000000006751CCPF;02/09/22;18;0,992;R
ES0000000000006751CCPF;02/09/22;19;0,352;R
ES0000000000006751CCPF;02/09/22;20;0,335;R
