CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000005994CCPF;01/09/22;1;0,29;R
ES0000000000005994CCPF;01/09/22;2;0,282;R
ES0000000000005994CCPF;01/09/22;3;0,268;R
ES0000000000005994CCPF;01/09/22;4;0,267;R
ES0000000000005994CCPF;01/09/22;5;0,23;R
ES0000000000005994CCPF;01/09/22;6;0,264;R
ES0000000000005994CCPF;01/09/22;7;0,309;R
ES0000000000005994CCPF;01/09/22;8;0,263;R
ES0000000000005994CCPF;01/09/22;9;0,247;R
ES0000000000005994CCPF;01/09/22;10;0,45;R
ES0000000000005994CCPF;01/09/22;11;0,471;R
ES0000000000005994CCPF;01/09/22;12;0,345;R
ES0000000000005994CCPF;01/09/22;13;0,276;R
ES0000000000005994CCPF;01/09/22;14;0,272;R
ES0000000000005994CCPF;01/09/22;15;0,792;R
ES0000000000005994CCPF;01/09/22;16;2,112;R
ES0000000000005994CCPF;01/09/22;17;0,617;R
ES0000000000005994CCPF;01/09/22;18;0,461;R
ES0000000000005994CCPF;01/09/22;19;0,401;R
ES0000000000005994CCPF;01/09/22;20;0,359;R
ES0000000000005994CCPF;01/09/22;21;0,456;R
ES0000000000005994CCPF;01/09/22;22;0,64;R
ES0000000000005994CCPF;01/09/22;23;0,356;R
ES0000000000005994CCPF;02/09/22;0;0,305;R
ES0000000000005994CCPF;02/09/22;1;0,278;R
ES0000000000005994CCPF;02/09/22;2;0,241;R
ES0000000000005994CCPF;02/09/22;3;0,261;R
ES0000000000005994CCPF;02/09/22;4;0,241;R
ES0000000000005994CCPF;02/09/22;5;0,261;R
ES0000000000005994CCPF;02/09/22;6;0,232;R
ES0000000000005994CCPF;02/09/22;7;0,261;R
ES0000000000005994CCPF;02/09/22;8;0,23;R
ES0000000000005994CCPF;02/09/22;9;0,415;R
ES0000000000005994CCPF;02/09/22;10;0,656;R
ES0000000000005994CCPF;02/09/22;11;0,479;R
ES0000000000005994CCPF;02/09/22;12;0,32;R
ES0000000000005994CCPF;02/09/22;13;0,273;R
ES0000000000005994CCPF;02/09/22;14;1,037;R
ES0000000000005994CCPF;02/09/22;15;1,445;R
ES0000000000005994CCPF;02/09/22;16;1,192;R
ES0000000000005994CCPF;02/09/22;17;0,968;R
ES0000000000005994CCPF;02/09/22;18;0,408;R
ES0000000000005994CCPF;02/09/22;19;0,418;R
ES0000000000005994CCPF;02/09/22;20;0,423;R
ES0000000000005994CCPF;02/09/22;21;1,377;R
ES0000000000005994CCPF;02/09/22;22;0,853;R
ES0000000000005994CCPF;02/09/22;23;0,339;R
