CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000001483CCPF;01/09/2022;1;0,751;R
ES0000000000001483CCPF;01/09/2022;2;0,081;R
ES0000000000001483CCPF;01/09/2022;3;0,074;R
ES0000000000001483CCPF;01/09/2022;4;0,073;R
ES0000000000001483CCPF;01/09/2022;5;0,07;R
ES0000000000001483CCPF;01/09/2022;6;0,067;R
ES0000000000001483CCPF;01/09/2022;7;0,067;R
ES0000000000001483CCPF;01/09/2022;8;0,244;R
ES0000000000001483CCPF;01/09/2022;9;0,114;R
ES0000000000001483CCPF;01/09/2022;10;0,062;R
ES0000000000001483CCPF;01/09/2022;11;0,06;R
ES0000000000001483CCPF;01/09/2022;12;0,06;R
ES0000000000001483CCPF;01/09/2022;13;0,061;R
ES0000000000001483CCPF;01/09/2022;14;0,061;R
ES0000000000001483CCPF;01/09/2022;15;0,062;R
ES0000000000001483CCPF;01/09/2022;16;0,261;R
ES0000000000001483CCPF;01/09/2022;17;0,066;R
ES0000000000001483CCPF;01/09/2022;18;0,068;R
ES0000000000001483CCPF;01/09/2022;19;0,066;R
ES0000000000001483CCPF;01/09/2022;20;0,065;R
ES0000000000001483CCPF;01/09/2022;21;0,065;R
ES0000000000001483CCPF;01/09/2022;22;0,076;R
ES0000000000001483CCPF;01/09/2022;23;0,192;R
ES0000000000001483CCPF;02/09/2022;0;1,517;R
ES0000000000001483CCPF;02/09/2022;1;0,136;R
ES0000000000001483CCPF;02/09/2022;2;0,081;R
ES0000000000001483CCPF;02/09/2022;3;0,074;R
ES0000000000001483CCPF;02/09/2022;4;0,07;R
ES0000000000001483CCPF;02/09/2022;5;0,067;R
ES0000000000001483CCPF;02/09/2022;6;0,065;R
ES0000000000001483CCPF;02/09/2022;7;0,064;R
ES0000000000001483CCPF;02/09/2022;8;0,195;R
ES0000000000001483CCPF;02/09/2022;9;0,071;R
ES0000000000001483CCPF;02/09/2022;10;0,065;R
ES0000000000001483CCPF;02/09/2022;11;0,063;R
ES0000000000001483CCPF;02/09/2022;12;0,064;R
ES0000000000001483CCPF;02/09/2022;13;0,062;R
