CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004565CCPF;01/09/2022;1;0,065;R
ES0000000000004565CCPF;01/09/2022;2;0,059;R
ES0000000000004565CCPF;01/09/2022;3;0,064;R
ES0000000000004565CCPF;01/09/2022;4;0,075;R
ES0000000000004565CCPF;01/09/2022;5;0,067;R
ES0000000000004565CCPF;01/09/2022;6;0,066;R
ES0000000000004565CCPF;01/09/2022;7;0,058;R
ES0000000000004565CCPF;01/09/2022;8;0,057;R
ES0000000000004565CCPF;01/09/2022;9;0,062;R
ES0000000000004565CCPF;01/09/2022;10;0,067;R
ES0000000000004565CCPF;01/09/2022;11;0,065;R
ES0000000000004565CCPF;01/09/2022;12;0,064;R
ES0000000000004565CCPF;01/09/2022;13;0,056;R
ES0000000000004565CCPF;01/09/2022;14;0,087;R
ES0000000000004565CCPF;01/09/2022;15;0,123;R
ES0000000000004565CCPF;01/09/2022;16;0,1;R
ES0000000000004565CCPF;01/09/2022;17;0,068;R
ES0000000000004565CCPF;01/09/2022;18;0,066;R
ES0000000000004565CCPF;01/09/2022;19;0,062;R
ES0000000000004565CCPF;01/09/2022;20;0,072;R
ES0000000000004565CCPF;01/09/2022;21;0,106;R
ES0000000000004565CCPF;01/09/2022;22;0,339;R
ES0000000000004565CCPF;01/09/2022;23;0,168;R
ES0000000000004565CCPF;02/09/2022;0;0,082;R
ES0000000000004565CCPF;02/09/2022;1;0,069;R
ES0000000000004565CCPF;02/09/2022;2;0,072;R
ES0000000000004565CCPF;02/09/2022;3;0,078;R
ES0000000000004565CCPF;02/09/2022;4;0,075;R
ES0000000000004565CCPF;02/09/2022;5;0,07;R
ES0000000000004565CCPF;02/09/2022;6;0,063;R
ES0000000000004565CCPF;02/09/2022;7;0,059;R
ES0000000000004565CCPF;02/09/2022;8;0,064;R
ES0000000000004565CCPF;02/09/2022;9;0,071;R
ES0000000000004565CCPF;02/09/2022;10;0,068;R
ES0000000000004565CCPF;02/09/2022;11;0,064;R
ES0000000000004565CCPF;02/09/2022;12;0,065;R
ES0000000000004565CCPF;02/09/2022;13;0,088;R
ES0000000000004565CCPF;02/09/2022;14;0,098;R
ES0000000000004565CCPF;02/09/2022;15;0,303;R
ES0000000000004565CCPF;02/09/2022;16;0,083;R
ES0000000000004565CCPF;02/09/2022;17;0,075;R
ES0000000000004565CCPF;02/09/2022;18;0,067;R
ES0000000000004565CCPF;02/09/2022;19;0,065;R
ES0000000000004565CCPF;02/09/2022;20;0,066;R
ES0000000000004565CCPF;02/09/2022;21;0,07;R
ES0000000000004565CCPF;02/09/2022;22;0,069;R
ES0000000000004565CCPF;02/09/2022;23;0,072;R
ES0000000000004565CCPF;03/09/2022;0;0,072;R
ES0000000000004565CCPF;03/09/2022;1;0,069;R
ES0000000000004565CCPF;03/09/2022;2;0,063;R
ES0000000000004565CCPF;03/09/2022;3;0,165;R
ES0000000000004565CCPF;03/09/2022;4;0,094;R
ES0000000000004565CCPF;03/09/2022;5;0,066;R
ES0000000000004565CCPF;03/09/2022;6;0,055;R
ES0000000000004565CCPF;03/09/2022;7;0,067;R
ES0000000000004565CCPF;03/09/2022;8;0,057;R
ES0000000000004565CCPF;03/09/2022;9;0,057;R
ES0000000000004565CCPF;03/09/2022;10;0,055;R
ES0000000000004565CCPF;03/09/2022;11;0,065;R
ES0000000000004565CCPF;03/09/2022;12;0,066;R
ES0000000000004565CCPF;03/09/2022;13;0,066;R
ES0000000000004565CCPF;03/09/2022;14;0,075;R
ES0000000000004565CCPF;03/09/2022;15;0,815;R
ES0000000000004565CCPF;03/09/2022;16;0,518;R
ES0000000000004565CCPF;03/09/2022;17;0,208;R
ES0000000000004565CCPF;03/09/2022;18;0,222;R
ES0000000000004565CCPF;03/09/2022;19;0,217;R
ES0000000000004565CCPF;03/09/2022;20;0,118;R
ES0000000000004565CCPF;03/09/2022;21;0,059;R
ES0000000000004565CCPF;03/09/2022;22;0,067;R
ES0000000000004565CCPF;03/09/2022;23;0,068;R
ES0000000000004565CCPF;04/09/2022;0;0,073;R
ES0000000000004565CCPF;04/09/2022;1;0,068;R
ES0000000000004565CCPF;04/09/2022;2;0,248;R
ES0000000000004565CCPF;04/09/2022;3;0,084;R
ES0000000000004565CCPF;04/09/2022;4;0,065;R
ES0000000000004565CCPF;04/09/2022;5;0,067;R
ES0000000000004565CCPF;04/09/2022;6;0,072;R
ES0000000000004565CCPF;04/09/2022;7;0,066;R
ES0000000000004565CCPF;04/09/2022;8;0,063;R
ES0000000000004565CCPF;04/09/2022;9;0,058;R
ES0000000000004565CCPF;04/09/2022;10;0,059;R
ES0000000000004565CCPF;04/09/2022;11;0,11;R
ES0000000000004565CCPF;04/09/2022;12;0,14;R
ES0000000000004565CCPF;04/09/2022;13;0,061;R
ES0000000000004565CCPF;04/09/2022;14;0,056;R
ES0000000000004565CCPF;04/09/2022;15;0,054;R
ES0000000000004565CCPF;04/09/2022;16;0,066;R
ES0000000000004565CCPF;04/09/2022;17;0,067;R
ES0000000000004565CCPF;04/09/2022;18;0,072;R
ES0000000000004565CCPF;04/09/2022;19;0,058;R
ES0000000000004565CCPF;04/09/2022;20;0,059;R
ES0000000000004565CCPF;04/09/2022;21;0,061;R
ES0000000000004565CCPF;04/09/2022;22;0,068;R
ES0000000000004565CCPF;04/09/2022;23;0,259;R
ES0000000000004565CCPF;05/09/2022;0;0,063;R
ES0000000000004565CCPF;05/09/2022;1;0,066;R
ES0000000000004565CCPF;05/09/2022;2;0,071;R
ES0000000000004565CCPF;05/09/2022;3;0,059;R
ES0000000000004565CCPF;05/09/2022;4;0,058;R
ES0000000000004565CCPF;05/09/2022;5;0,071;R
ES0000000000004565CCPF;05/09/2022;6;0,06;R
ES0000000000004565CCPF;05/09/2022;7;0,052;R
ES0000000000004565CCPF;05/09/2022;8;0,067;R
ES0000000000004565CCPF;05/09/2022;9;0,08;R
ES0000000000004565CCPF;05/09/2022;10;0,043;R
ES0000000000004565CCPF;05/09/2022;11;0,353;R
ES0000000000004565CCPF;05/09/2022;12;1,264;R
ES0000000000004565CCPF;05/09/2022;13;0,674;R
ES0000000000004565CCPF;05/09/2022;14;0,065;R
ES0000000000004565CCPF;05/09/2022;15;0,279;R
ES0000000000004565CCPF;05/09/2022;16;0,056;R
ES0000000000004565CCPF;05/09/2022;17;0,06;R
ES0000000000004565CCPF;05/09/2022;18;0,072;R
ES0000000000004565CCPF;05/09/2022;19;0,057;R
ES0000000000004565CCPF;05/09/2022;20;0,1;R
ES0000000000004565CCPF;05/09/2022;21;0,131;R
ES0000000000004565CCPF;05/09/2022;22;0,066;R
