CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006341CCPF;01/09/2022;1;0,105;R
ES0000000000006341CCPF;01/09/2022;2;0,084;R
ES0000000000006341CCPF;01/09/2022;3;0,102;R
ES0000000000006341CCPF;01/09/2022;4;0,092;R
ES0000000000006341CCPF;01/09/2022;5;0,094;R
ES0000000000006341CCPF;01/09/2022;6;0,102;R
ES0000000000006341CCPF;01/09/2022;7;0,082;R
ES0000000000006341CCPF;01/09/2022;8;0,108;R
ES0000000000006341CCPF;01/09/2022;9;0,065;R
ES0000000000006341CCPF;01/09/2022;10;0,183;R
ES0000000000006341CCPF;01/09/2022;11;0,127;R
ES0000000000006341CCPF;01/09/2022;12;0,076;R
ES0000000000006341CCPF;01/09/2022;13;0,105;R
ES0000000000006341CCPF;01/09/2022;14;0,065;R
ES0000000000006341CCPF;01/09/2022;15;0,107;R
ES0000000000006341CCPF;01/09/2022;16;0,07;R
ES0000000000006341CCPF;01/09/2022;17;0,099;R
ES0000000000006341CCPF;01/09/2022;18;0,075;R
ES0000000000006341CCPF;01/09/2022;19;0,097;R
ES0000000000006341CCPF;01/09/2022;20;0,079;R
ES0000000000006341CCPF;01/09/2022;21;0,094;R
ES0000000000006341CCPF;01/09/2022;22;0,079;R
ES0000000000006341CCPF;01/09/2022;23;0,091;R
ES0000000000006341CCPF;02/09/2022;0;0,083;R
ES0000000000006341CCPF;02/09/2022;1;0,095;R
ES0000000000006341CCPF;02/09/2022;2;0,166;R
ES0000000000006341CCPF;02/09/2022;3;0,14;R
ES0000000000006341CCPF;02/09/2022;4;0,109;R
ES0000000000006341CCPF;02/09/2022;5;0,093;R
ES0000000000006341CCPF;02/09/2022;6;0,094;R
ES0000000000006341CCPF;02/09/2022;7;0,095;R
ES0000000000006341CCPF;02/09/2022;8;0,089;R
ES0000000000006341CCPF;02/09/2022;9;0,087;R
ES0000000000006341CCPF;02/09/2022;10;0,08;R
ES0000000000006341CCPF;02/09/2022;11;0,094;R
ES0000000000006341CCPF;02/09/2022;12;0,07;R
ES0000000000006341CCPF;02/09/2022;13;0,097;R
ES0000000000006341CCPF;02/09/2022;14;0,071;R
ES0000000000006341CCPF;02/09/2022;15;0,103;R
ES0000000000006341CCPF;02/09/2022;16;0,065;R
ES0000000000006341CCPF;02/09/2022;17;0,105;R
ES0000000000006341CCPF;02/09/2022;18;0,138;R
ES0000000000006341CCPF;02/09/2022;19;0,142;R
ES0000000000006341CCPF;02/09/2022;20;0,108;R
ES0000000000006341CCPF;02/09/2022;21;0,067;R
