CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006813CCPF;01/09/22;1;0,072;R
ES0000000000006813CCPF;01/09/22;2;0,044;R
ES0000000000006813CCPF;01/09/22;3;0,117;R
ES0000000000006813CCPF;01/09/22;4;0,052;R
ES0000000000006813CCPF;01/09/22;5;0,063;R
ES0000000000006813CCPF;01/09/22;6;0,099;R
ES0000000000006813CCPF;01/09/22;7;0,197;R
ES0000000000006813CCPF;01/09/22;8;0,143;R
ES0000000000006813CCPF;01/09/22;9;0,046;R
ES0000000000006813CCPF;01/09/22;10;0,066;R
ES0000000000006813CCPF;01/09/22;11;0,114;R
ES0000000000006813CCPF;01/09/22;12;0,016;R
ES0000000000006813CCPF;01/09/22;13;0,095;R
ES0000000000006813CCPF;01/09/22;14;0,105;R
ES0000000000006813CCPF;01/09/22;15;0,013;R
ES0000000000006813CCPF;01/09/22;16;0,103;R
ES0000000000006813CCPF;01/09/22;17;0,113;R
ES0000000000006813CCPF;01/09/22;18;0,013;R
ES0000000000006813CCPF;01/09/22;19;0,129;R
ES0000000000006813CCPF;01/09/22;20;0,161;R
ES0000000000006813CCPF;01/09/22;21;0,759;R
ES0000000000006813CCPF;01/09/22;22;1,102;R
ES0000000000006813CCPF;01/09/22;23;0,134;R
ES0000000000006813CCPF;02/09/22;0;0,162;R
ES0000000000006813CCPF;02/09/22;1;0,075;R
ES0000000000006813CCPF;02/09/22;2;0,043;R
ES0000000000006813CCPF;02/09/22;3;0,117;R
ES0000000000006813CCPF;02/09/22;4;0,077;R
ES0000000000006813CCPF;02/09/22;5;0,038;R
ES0000000000006813CCPF;02/09/22;6;0,118;R
ES0000000000006813CCPF;02/09/22;7;0,275;R
ES0000000000006813CCPF;02/09/22;8;0,099;R
ES0000000000006813CCPF;02/09/22;9;0,023;R
ES0000000000006813CCPF;02/09/22;10;0,119;R
ES0000000000006813CCPF;02/09/22;11;0,077;R
ES0000000000006813CCPF;02/09/22;12;0,026;R
ES0000000000006813CCPF;02/09/22;13;0,12;R
ES0000000000006813CCPF;02/09/22;14;0,091;R
ES0000000000006813CCPF;02/09/22;15;0,012;R
ES0000000000006813CCPF;02/09/22;16;0,119;R
ES0000000000006813CCPF;02/09/22;17;0,148;R
ES0000000000006813CCPF;02/09/22;18;0,144;R
ES0000000000006813CCPF;02/09/22;19;0,052;R
ES0000000000006813CCPF;02/09/22;20;0,167;R
ES0000000000006813CCPF;02/09/22;21;0,166;R
ES0000000000006813CCPF;02/09/22;22;0,167;R
ES0000000000006813CCPF;02/09/22;23;0,287;R
ES0000000000006813CCPF;03/09/22;0;0,089;R
ES0000000000006813CCPF;03/09/22;1;0,101;R
ES0000000000006813CCPF;03/09/22;2;0,114;R
ES0000000000006813CCPF;03/09/22;3;0,099;R
ES0000000000006813CCPF;03/09/22;4;0,013;R
ES0000000000006813CCPF;03/09/22;5;0,109;R
ES0000000000006813CCPF;03/09/22;6;0,113;R
ES0000000000006813CCPF;03/09/22;7;0,034;R
ES0000000000006813CCPF;03/09/22;8;0,064;R
ES0000000000006813CCPF;03/09/22;9;0,217;R
ES0000000000006813CCPF;03/09/22;10;0,175;R
ES0000000000006813CCPF;03/09/22;11;0,059;R
ES0000000000006813CCPF;03/09/22;12;0,137;R
ES0000000000006813CCPF;03/09/22;13;0,164;R
ES0000000000006813CCPF;03/09/22;14;0,29;R
ES0000000000006813CCPF;03/09/22;15;0,058;R
ES0000000000006813CCPF;03/09/22;16;0,214;R
ES0000000000006813CCPF;03/09/22;17;0,181;R
ES0000000000006813CCPF;03/09/22;18;0,113;R
ES0000000000006813CCPF;03/09/22;19;0,206;R
ES0000000000006813CCPF;03/09/22;20;0,197;R
ES0000000000006813CCPF;03/09/22;21;0,165;R
ES0000000000006813CCPF;03/09/22;22;0,081;R
ES0000000000006813CCPF;03/09/22;23;0,256;R
ES0000000000006813CCPF;04/09/22;0;0,225;R
ES0000000000006813CCPF;04/09/22;1;0,132;R
ES0000000000006813CCPF;04/09/22;2;0,118;R
ES0000000000006813CCPF;04/09/22;3;0,115;R
ES0000000000006813CCPF;04/09/22;4;0,019;R
ES0000000000006813CCPF;04/09/22;5;0,069;R
ES0000000000006813CCPF;04/09/22;6;0,119;R
ES0000000000006813CCPF;04/09/22;7;0,039;R
ES0000000000006813CCPF;04/09/22;8;0,039;R
ES0000000000006813CCPF;04/09/22;9;0,2;R
ES0000000000006813CCPF;04/09/22;10;0,081;R
ES0000000000006813CCPF;04/09/22;11;0,093;R
ES0000000000006813CCPF;04/09/22;12;0,164;R
ES0000000000006813CCPF;04/09/22;13;0,293;R
ES0000000000006813CCPF;04/09/22;14;0,045;R
ES0000000000006813CCPF;04/09/22;15;0,489;R
ES0000000000006813CCPF;04/09/22;16;0,199;R
ES0000000000006813CCPF;04/09/22;17;0,994;R
ES0000000000006813CCPF;04/09/22;18;0,131;R
ES0000000000006813CCPF;04/09/22;19;0,172;R
ES0000000000006813CCPF;04/09/22;20;0,182;R
ES0000000000006813CCPF;04/09/22;21;0,095;R
ES0000000000006813CCPF;04/09/22;22;0,29;R
ES0000000000006813CCPF;04/09/22;23;0,227;R
ES0000000000006813CCPF;05/09/22;0;0,195;R
ES0000000000006813CCPF;05/09/22;1;0,113;R
ES0000000000006813CCPF;05/09/22;2;0,118;R
ES0000000000006813CCPF;05/09/22;3;0,047;R
ES0000000000006813CCPF;05/09/22;4;0,041;R
ES0000000000006813CCPF;05/09/22;5;0,112;R
ES0000000000006813CCPF;05/09/22;6;0,014;R
ES0000000000006813CCPF;05/09/22;7;0,257;R
ES0000000000006813CCPF;05/09/22;8;0,131;R
ES0000000000006813CCPF;05/09/22;9;0,024;R
ES0000000000006813CCPF;05/09/22;10;0,066;R
ES0000000000006813CCPF;05/09/22;11;0,113;R
ES0000000000006813CCPF;05/09/22;12;0,014;R
ES0000000000006813CCPF;05/09/22;13;0,073;R
ES0000000000006813CCPF;05/09/22;14;0,115;R
ES0000000000006813CCPF;05/09/22;15;0,017;R
ES0000000000006813CCPF;05/09/22;16;0,07;R
ES0000000000006813CCPF;05/09/22;17;0,114;R
ES0000000000006813CCPF;05/09/22;18;0,022;R
ES0000000000006813CCPF;05/09/22;19;0,084;R
ES0000000000006813CCPF;05/09/22;20;0,164;R
ES0000000000006813CCPF;05/09/22;21;0,275;R
ES0000000000006813CCPF;05/09/22;22;0,304;R
ES0000000000006813CCPF;05/09/22;23;0,16;R
ES0000000000006813CCPF;06/09/22;0;0,136;R
ES0000000000006813CCPF;06/09/22;1;0,027;R
ES0000000000006813CCPF;06/09/22;2;0,086;R
ES0000000000006813CCPF;06/09/22;3;0,115;R
ES0000000000006813CCPF;06/09/22;4;0,025;R
ES0000000000006813CCPF;06/09/22;5;0,082;R
ES0000000000006813CCPF;06/09/22;6;0,114;R
ES0000000000006813CCPF;06/09/22;7;0,117;R
ES0000000000006813CCPF;06/09/22;8;0,12;R
ES0000000000006813CCPF;06/09/22;9;0,091;R
ES0000000000006813CCPF;06/09/22;10;0,013;R
ES0000000000006813CCPF;06/09/22;11;0,108;R
ES0000000000006813CCPF;06/09/22;12;0,088;R
ES0000000000006813CCPF;06/09/22;13;0,014;R
ES0000000000006813CCPF;06/09/22;14;0,108;R
ES0000000000006813CCPF;06/09/22;15;0,097;R
ES0000000000006813CCPF;06/09/22;16;0,014;R
ES0000000000006813CCPF;06/09/22;17;0,093;R
ES0000000000006813CCPF;06/09/22;18;0,114;R
ES0000000000006813CCPF;06/09/22;19;0,045;R
ES0000000000006813CCPF;06/09/22;20;0,153;R
ES0000000000006813CCPF;06/09/22;21;0,141;R
ES0000000000006813CCPF;06/09/22;22;0,099;R
ES0000000000006813CCPF;06/09/22;23;0,164;R
ES0000000000006813CCPF;07/09/22;0;0,166;R
ES0000000000006813CCPF;07/09/22;1;0,116;R
ES0000000000006813CCPF;07/09/22;2;0,114;R
ES0000000000006813CCPF;07/09/22;3;0,112;R
ES0000000000006813CCPF;07/09/22;4;0,022;R
ES0000000000006813CCPF;07/09/22;5;0,056;R
ES0000000000006813CCPF;07/09/22;6;0,117;R
ES0000000000006813CCPF;07/09/22;7;0,233;R
ES0000000000006813CCPF;07/09/22;8;0,079;R
ES0000000000006813CCPF;07/09/22;9;0,116;R
ES0000000000006813CCPF;07/09/22;10;0,057;R
ES0000000000006813CCPF;07/09/22;11;0,02;R
ES0000000000006813CCPF;07/09/22;12;0,122;R
ES0000000000006813CCPF;07/09/22;13;0,095;R
ES0000000000006813CCPF;07/09/22;14;0,013;R
ES0000000000006813CCPF;07/09/22;15;0,093;R
ES0000000000006813CCPF;07/09/22;16;0,114;R
ES0000000000006813CCPF;07/09/22;17;0,026;R
ES0000000000006813CCPF;07/09/22;18;0,058;R
ES0000000000006813CCPF;07/09/22;19;0,117;R
ES0000000000006813CCPF;07/09/22;20;0,064;R
ES0000000000006813CCPF;07/09/22;21;0,013;R
ES0000000000006813CCPF;07/09/22;22;0,122;R
ES0000000000006813CCPF;07/09/22;23;0,101;R
ES0000000000006813CCPF;08/09/22;0;0,065;R
ES0000000000006813CCPF;08/09/22;1;0,102;R
ES0000000000006813CCPF;08/09/22;2;0,093;R
ES0000000000006813CCPF;08/09/22;3;0,013;R
ES0000000000006813CCPF;08/09/22;4;0,09;R
ES0000000000006813CCPF;08/09/22;5;0,097;R
ES0000000000006813CCPF;08/09/22;6;0,013;R
ES0000000000006813CCPF;08/09/22;7;0,252;R
ES0000000000006813CCPF;08/09/22;8;0,133;R
ES0000000000006813CCPF;08/09/22;9;0,03;R
ES0000000000006813CCPF;08/09/22;10;0,054;R
ES0000000000006813CCPF;08/09/22;11;0,115;R
ES0000000000006813CCPF;08/09/22;12;0,04;R
ES0000000000006813CCPF;08/09/22;13;0,043;R
ES0000000000006813CCPF;08/09/22;14;0,117;R
ES0000000000006813CCPF;08/09/22;15;0,045;R
ES0000000000006813CCPF;08/09/22;16;0,036;R
ES0000000000006813CCPF;08/09/22;17;0,119;R
ES0000000000006813CCPF;08/09/22;18;0,086;R
ES0000000000006813CCPF;08/09/22;19;0,023;R
ES0000000000006813CCPF;08/09/22;20;0,135;R
ES0000000000006813CCPF;08/09/22;21;1,235;R
ES0000000000006813CCPF;08/09/22;22;0,66;R
ES0000000000006813CCPF;08/09/22;23;0,207;R
ES0000000000006813CCPF;09/09/22;0;0,153;R
ES0000000000006813CCPF;09/09/22;1;0,116;R
ES0000000000006813CCPF;09/09/22;2;0,112;R
ES0000000000006813CCPF;09/09/22;3;0,112;R
ES0000000000006813CCPF;09/09/22;4;0,106;R
ES0000000000006813CCPF;09/09/22;5;0,015;R
ES0000000000006813CCPF;09/09/22;6;0,079;R
ES0000000000006813CCPF;09/09/22;7;0,279;R
ES0000000000006813CCPF;09/09/22;8;0,112;R
ES0000000000006813CCPF;09/09/22;9;0,013;R
ES0000000000006813CCPF;09/09/22;10;0,102;R
ES0000000000006813CCPF;09/09/22;11;0,112;R
ES0000000000006813CCPF;09/09/22;12;0,016;R
ES0000000000006813CCPF;09/09/22;13;0,072;R
ES0000000000006813CCPF;09/09/22;14;0,115;R
ES0000000000006813CCPF;09/09/22;15;0,042;R
ES0000000000006813CCPF;09/09/22;16;0,043;R
ES0000000000006813CCPF;09/09/22;17;0,203;R
ES0000000000006813CCPF;09/09/22;18;0,113;R
ES0000000000006813CCPF;09/09/22;19;0,044;R
ES0000000000006813CCPF;09/09/22;20;0,131;R
ES0000000000006813CCPF;09/09/22;21;0,127;R
ES0000000000006813CCPF;09/09/22;22;0,15;R
