CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004533CCPF;01/09/2022;1;2,281;R
ES0000000000004533CCPF;01/09/2022;2;2,228;R
ES0000000000004533CCPF;01/09/2022;3;2,164;R
ES0000000000004533CCPF;01/09/2022;4;2,158;R
ES0000000000004533CCPF;01/09/2022;5;2,176;R
ES0000000000004533CCPF;01/09/2022;6;2,197;R
ES0000000000004533CCPF;01/09/2022;7;2,146;R
ES0000000000004533CCPF;01/09/2022;8;2,174;R
ES0000000000004533CCPF;01/09/2022;9;0,458;R
ES0000000000004533CCPF;01/09/2022;10;1,297;R
ES0000000000004533CCPF;01/09/2022;11;0,473;R
ES0000000000004533CCPF;01/09/2022;12;0,227;R
ES0000000000004533CCPF;01/09/2022;13;0,112;R
ES0000000000004533CCPF;01/09/2022;14;0,173;R
ES0000000000004533CCPF;01/09/2022;15;0,175;R
ES0000000000004533CCPF;01/09/2022;16;0,205;R
ES0000000000004533CCPF;01/09/2022;17;0,239;R
ES0000000000004533CCPF;01/09/2022;18;0,179;R
ES0000000000004533CCPF;01/09/2022;19;0,247;R
ES0000000000004533CCPF;01/09/2022;20;0,189;R
ES0000000000004533CCPF;01/09/2022;21;0,199;R
ES0000000000004533CCPF;01/09/2022;22;0,585;R
ES0000000000004533CCPF;01/09/2022;23;0,306;R
ES0000000000004533CCPF;02/09/2022;0;0,259;R
ES0000000000004533CCPF;02/09/2022;1;0,261;R
ES0000000000004533CCPF;02/09/2022;2;0,188;R
ES0000000000004533CCPF;02/09/2022;3;0,129;R
ES0000000000004533CCPF;02/09/2022;4;0,123;R
ES0000000000004533CCPF;02/09/2022;5;0,105;R
ES0000000000004533CCPF;02/09/2022;6;0,088;R
ES0000000000004533CCPF;02/09/2022;7;0,117;R
ES0000000000004533CCPF;02/09/2022;8;0,323;R
ES0000000000004533CCPF;02/09/2022;9;0,266;R
ES0000000000004533CCPF;02/09/2022;10;0,23;R
ES0000000000004533CCPF;02/09/2022;11;0,363;R
ES0000000000004533CCPF;02/09/2022;12;0,184;R
ES0000000000004533CCPF;02/09/2022;13;0,137;R
ES0000000000004533CCPF;02/09/2022;14;0,209;R
ES0000000000004533CCPF;02/09/2022;15;0,293;R
ES0000000000004533CCPF;02/09/2022;16;0,173;R
ES0000000000004533CCPF;02/09/2022;17;0,126;R
ES0000000000004533CCPF;02/09/2022;18;0,123;R
ES0000000000004533CCPF;02/09/2022;19;0,173;R
ES0000000000004533CCPF;02/09/2022;20;0,167;R
ES0000000000004533CCPF;02/09/2022;21;0,25;R
ES0000000000004533CCPF;02/09/2022;22;0,376;R
ES0000000000004533CCPF;02/09/2022;23;0,477;R
ES0000000000004533CCPF;03/09/2022;0;1,47;R
ES0000000000004533CCPF;03/09/2022;1;2,017;R
ES0000000000004533CCPF;03/09/2022;2;1,959;R
ES0000000000004533CCPF;03/09/2022;3;1,953;R
ES0000000000004533CCPF;03/09/2022;4;1,953;R
ES0000000000004533CCPF;03/09/2022;5;1,967;R
ES0000000000004533CCPF;03/09/2022;6;1,967;R
ES0000000000004533CCPF;03/09/2022;7;1,972;R
ES0000000000004533CCPF;03/09/2022;8;1,354;R
ES0000000000004533CCPF;03/09/2022;9;0,317;R
ES0000000000004533CCPF;03/09/2022;10;0,231;R
ES0000000000004533CCPF;03/09/2022;11;0,248;R
ES0000000000004533CCPF;03/09/2022;12;0,244;R
ES0000000000004533CCPF;03/09/2022;13;0,231;R
ES0000000000004533CCPF;03/09/2022;14;0,255;R
ES0000000000004533CCPF;03/09/2022;15;0,268;R
ES0000000000004533CCPF;03/09/2022;16;0,335;R
ES0000000000004533CCPF;03/09/2022;17;0,316;R
ES0000000000004533CCPF;03/09/2022;18;0,163;R
ES0000000000004533CCPF;03/09/2022;19;0,123;R
ES0000000000004533CCPF;03/09/2022;20;0,105;R
ES0000000000004533CCPF;03/09/2022;21;0,093;R
ES0000000000004533CCPF;03/09/2022;22;0,119;R
ES0000000000004533CCPF;03/09/2022;23;0,093;R
ES0000000000004533CCPF;04/09/2022;0;0,104;R
ES0000000000004533CCPF;04/09/2022;1;0,103;R
ES0000000000004533CCPF;04/09/2022;2;0,139;R
ES0000000000004533CCPF;04/09/2022;3;0,148;R
ES0000000000004533CCPF;04/09/2022;4;0,139;R
ES0000000000004533CCPF;04/09/2022;5;0,106;R
ES0000000000004533CCPF;04/09/2022;6;0,091;R
ES0000000000004533CCPF;04/09/2022;7;0,122;R
ES0000000000004533CCPF;04/09/2022;8;0,079;R
ES0000000000004533CCPF;04/09/2022;9;0,12;R
ES0000000000004533CCPF;04/09/2022;10;0,378;R
