CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000003430CCPF;01/09/2022;1;0,501;R
ES0000000000003430CCPF;01/09/2022;2;0,743;R
ES0000000000003430CCPF;01/09/2022;3;0,147;R
ES0000000000003430CCPF;01/09/2022;4;0,147;R
ES0000000000003430CCPF;01/09/2022;5;0,115;R
ES0000000000003430CCPF;01/09/2022;6;0,093;R
ES0000000000003430CCPF;01/09/2022;7;0,095;R
ES0000000000003430CCPF;01/09/2022;8;0,127;R
ES0000000000003430CCPF;01/09/2022;9;0,098;R
ES0000000000003430CCPF;01/09/2022;10;0,121;R
ES0000000000003430CCPF;01/09/2022;11;0,146;R
ES0000000000003430CCPF;01/09/2022;12;0,249;R
ES0000000000003430CCPF;01/09/2022;13;0,52;R
ES0000000000003430CCPF;01/09/2022;14;0,588;R
ES0000000000003430CCPF;01/09/2022;15;1,187;R
ES0000000000003430CCPF;01/09/2022;16;0,242;R
ES0000000000003430CCPF;01/09/2022;17;0,293;R
ES0000000000003430CCPF;01/09/2022;18;0,263;R
ES0000000000003430CCPF;01/09/2022;19;0,236;R
ES0000000000003430CCPF;01/09/2022;20;0,256;R
ES0000000000003430CCPF;01/09/2022;21;0,379;R
ES0000000000003430CCPF;01/09/2022;22;0,439;R
ES0000000000003430CCPF;01/09/2022;23;0,442;R
ES0000000000003430CCPF;02/09/2022;0;0,415;R
ES0000000000003430CCPF;02/09/2022;1;0,264;R
ES0000000000003430CCPF;02/09/2022;2;0,163;R
ES0000000000003430CCPF;02/09/2022;3;0,135;R
ES0000000000003430CCPF;02/09/2022;4;0,088;R
ES0000000000003430CCPF;02/09/2022;5;0,087;R
ES0000000000003430CCPF;02/09/2022;6;0,084;R
ES0000000000003430CCPF;02/09/2022;7;0,079;R
ES0000000000003430CCPF;02/09/2022;8;0,092;R
ES0000000000003430CCPF;02/09/2022;9;0,129;R
ES0000000000003430CCPF;02/09/2022;10;0,143;R
ES0000000000003430CCPF;02/09/2022;11;0,227;R
ES0000000000003430CCPF;02/09/2022;12;0,162;R
ES0000000000003430CCPF;02/09/2022;13;0,171;R
ES0000000000003430CCPF;02/09/2022;14;1,091;R
ES0000000000003430CCPF;02/09/2022;15;0,379;R
ES0000000000003430CCPF;02/09/2022;16;0,228;R
ES0000000000003430CCPF;02/09/2022;17;0,323;R
ES0000000000003430CCPF;02/09/2022;18;0,255;R
ES0000000000003430CCPF;02/09/2022;19;0,24;R
ES0000000000003430CCPF;02/09/2022;20;0,208;R
