CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004237CCPF;01/09/2022;1;0,031;R
ES0000000000004237CCPF;01/09/2022;2;0,067;R
ES0000000000004237CCPF;01/09/2022;3;0,06;R
ES0000000000004237CCPF;01/09/2022;4;0,029;R
ES0000000000004237CCPF;01/09/2022;5;0,308;R
ES0000000000004237CCPF;01/09/2022;6;0,028;R
ES0000000000004237CCPF;01/09/2022;7;0,07;R
ES0000000000004237CCPF;01/09/2022;8;0,029;R
ES0000000000004237CCPF;01/09/2022;9;0,382;R
ES0000000000004237CCPF;01/09/2022;10;0,029;R
ES0000000000004237CCPF;01/09/2022;11;0,07;R
ES0000000000004237CCPF;01/09/2022;12;0,024;R
ES0000000000004237CCPF;01/09/2022;13;0,071;R
ES0000000000004237CCPF;01/09/2022;14;0,029;R
ES0000000000004237CCPF;01/09/2022;15;0,069;R
ES0000000000004237CCPF;01/09/2022;16;0,031;R
ES0000000000004237CCPF;01/09/2022;17;0,257;R
ES0000000000004237CCPF;01/09/2022;18;0,37;R
ES0000000000004237CCPF;01/09/2022;19;0,208;R
ES0000000000004237CCPF;01/09/2022;20;0,217;R
ES0000000000004237CCPF;01/09/2022;21;0,052;R
ES0000000000004237CCPF;01/09/2022;22;0,041;R
ES0000000000004237CCPF;01/09/2022;23;0,064;R
ES0000000000004237CCPF;02/09/2022;0;0,083;R
ES0000000000004237CCPF;02/09/2022;1;0,039;R
ES0000000000004237CCPF;02/09/2022;2;0,027;R
ES0000000000004237CCPF;02/09/2022;3;0,052;R
ES0000000000004237CCPF;02/09/2022;4;0,08;R
ES0000000000004237CCPF;02/09/2022;5;0,2;R
ES0000000000004237CCPF;02/09/2022;6;0,054;R
ES0000000000004237CCPF;02/09/2022;7;0,025;R
ES0000000000004237CCPF;02/09/2022;8;0,028;R
ES0000000000004237CCPF;02/09/2022;9;0,4;R
ES0000000000004237CCPF;02/09/2022;10;0,029;R
ES0000000000004237CCPF;02/09/2022;11;0,041;R
ES0000000000004237CCPF;02/09/2022;12;0,047;R
ES0000000000004237CCPF;02/09/2022;13;0,028;R
ES0000000000004237CCPF;02/09/2022;14;0,028;R
ES0000000000004237CCPF;02/09/2022;15;0,048;R
ES0000000000004237CCPF;02/09/2022;16;0,027;R
ES0000000000004237CCPF;02/09/2022;17;0,031;R
ES0000000000004237CCPF;02/09/2022;18;0,307;R
ES0000000000004237CCPF;02/09/2022;19;0,331;R
ES0000000000004237CCPF;02/09/2022;20;0,027;R
ES0000000000004237CCPF;02/09/2022;21;0,088;R
ES0000000000004237CCPF;02/09/2022;22;0,113;R
ES0000000000004237CCPF;02/09/2022;23;0,131;R
ES0000000000004237CCPF;03/09/2022;0;0,096;R
ES0000000000004237CCPF;03/09/2022;1;0,216;R
ES0000000000004237CCPF;03/09/2022;2;0,035;R
ES0000000000004237CCPF;03/09/2022;3;0,056;R
ES0000000000004237CCPF;03/09/2022;4;0,033;R
ES0000000000004237CCPF;03/09/2022;5;0,031;R
ES0000000000004237CCPF;03/09/2022;6;0,033;R
ES0000000000004237CCPF;03/09/2022;7;0,042;R
ES0000000000004237CCPF;03/09/2022;8;0,041;R
ES0000000000004237CCPF;03/09/2022;9;0,224;R
ES0000000000004237CCPF;03/09/2022;10;0,032;R
ES0000000000004237CCPF;03/09/2022;11;0,17;R
ES0000000000004237CCPF;03/09/2022;12;0,835;R
ES0000000000004237CCPF;03/09/2022;13;0,084;R
ES0000000000004237CCPF;03/09/2022;14;0,057;R
ES0000000000004237CCPF;03/09/2022;15;0,833;R
ES0000000000004237CCPF;03/09/2022;16;0,086;R
ES0000000000004237CCPF;03/09/2022;17;0,475;R
ES0000000000004237CCPF;03/09/2022;18;0,025;R
ES0000000000004237CCPF;03/09/2022;19;0,463;R
ES0000000000004237CCPF;03/09/2022;20;0,087;R
ES0000000000004237CCPF;03/09/2022;21;0,108;R
ES0000000000004237CCPF;03/09/2022;22;0,483;R
ES0000000000004237CCPF;03/09/2022;23;0,148;R
ES0000000000004237CCPF;04/09/2022;0;0,065;R
ES0000000000004237CCPF;04/09/2022;1;0,034;R
ES0000000000004237CCPF;04/09/2022;2;0,061;R
ES0000000000004237CCPF;04/09/2022;3;0,068;R
ES0000000000004237CCPF;04/09/2022;4;0,045;R
ES0000000000004237CCPF;04/09/2022;5;0,237;R
ES0000000000004237CCPF;04/09/2022;6;0,04;R
ES0000000000004237CCPF;04/09/2022;7;0,046;R
ES0000000000004237CCPF;04/09/2022;8;0,045;R
ES0000000000004237CCPF;04/09/2022;9;0,04;R
ES0000000000004237CCPF;04/09/2022;10;0,032;R
ES0000000000004237CCPF;04/09/2022;11;0,2;R
ES0000000000004237CCPF;04/09/2022;12;0,383;R
ES0000000000004237CCPF;04/09/2022;13;0,043;R
ES0000000000004237CCPF;04/09/2022;14;0,028;R
ES0000000000004237CCPF;04/09/2022;15;0,027;R
ES0000000000004237CCPF;04/09/2022;16;0,219;R
ES0000000000004237CCPF;04/09/2022;17;0,042;R
ES0000000000004237CCPF;04/09/2022;18;0,034;R
ES0000000000004237CCPF;04/09/2022;19;0,016;R
ES0000000000004237CCPF;04/09/2022;20;0,051;R
ES0000000000004237CCPF;04/09/2022;21;0,063;R
ES0000000000004237CCPF;04/09/2022;22;0,624;R
ES0000000000004237CCPF;04/09/2022;23;0,137;R
ES0000000000004237CCPF;05/09/2022;0;0,273;R
ES0000000000004237CCPF;05/09/2022;1;0,048;R
