CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006641CCPF;01/09/22;1;0,091;R
ES0000000000006641CCPF;01/09/22;2;0,089;R
ES0000000000006641CCPF;01/09/22;3;0,073;R
ES0000000000006641CCPF;01/09/22;4;0,076;R
ES0000000000006641CCPF;01/09/22;5;0,091;R
ES0000000000006641CCPF;01/09/22;6;0,145;R
ES0000000000006641CCPF;01/09/22;7;0,055;R
ES0000000000006641CCPF;01/09/22;8;0,065;R
ES0000000000006641CCPF;01/09/22;9;0,072;R
ES0000000000006641CCPF;01/09/22;10;0,082;R
ES0000000000006641CCPF;01/09/22;11;0,105;R
ES0000000000006641CCPF;01/09/22;12;0,076;R
ES0000000000006641CCPF;01/09/22;13;0,068;R
ES0000000000006641CCPF;01/09/22;14;0,059;R
ES0000000000006641CCPF;01/09/22;15;0,059;R
ES0000000000006641CCPF;01/09/22;16;0,072;R
ES0000000000006641CCPF;01/09/22;17;0,071;R
ES0000000000006641CCPF;01/09/22;18;0,069;R
ES0000000000006641CCPF;01/09/22;19;0,054;R
ES0000000000006641CCPF;01/09/22;20;0,095;R
ES0000000000006641CCPF;01/09/22;21;0,147;R
ES0000000000006641CCPF;01/09/22;22;0,234;R
ES0000000000006641CCPF;01/09/22;23;0,219;R
ES0000000000006641CCPF;02/09/22;0;0,082;R
ES0000000000006641CCPF;02/09/22;1;0,087;R
ES0000000000006641CCPF;02/09/22;2;0,09;R
ES0000000000006641CCPF;02/09/22;3;0,087;R
ES0000000000006641CCPF;02/09/22;4;0,072;R
ES0000000000006641CCPF;02/09/22;5;0,116;R
ES0000000000006641CCPF;02/09/22;6;0,22;R
ES0000000000006641CCPF;02/09/22;7;0,078;R
ES0000000000006641CCPF;02/09/22;8;0,056;R
ES0000000000006641CCPF;02/09/22;9;0,074;R
ES0000000000006641CCPF;02/09/22;10;0,074;R
ES0000000000006641CCPF;02/09/22;11;0,061;R
ES0000000000006641CCPF;02/09/22;12;0,056;R
ES0000000000006641CCPF;02/09/22;13;0,075;R
ES0000000000006641CCPF;02/09/22;14;0,072;R
ES0000000000006641CCPF;02/09/22;15;0,061;R
ES0000000000006641CCPF;02/09/22;16;0,057;R
ES0000000000006641CCPF;02/09/22;17;0,1;R
ES0000000000006641CCPF;02/09/22;18;0,172;R
ES0000000000006641CCPF;02/09/22;19;0,107;R
ES0000000000006641CCPF;02/09/22;20;0,092;R
ES0000000000006641CCPF;02/09/22;21;0,089;R
ES0000000000006641CCPF;02/09/22;22;0,09;R
ES0000000000006641CCPF;02/09/22;23;0,133;R
ES0000000000006641CCPF;03/09/22;0;0,359;R
ES0000000000006641CCPF;03/09/22;1;0,432;R
ES0000000000006641CCPF;03/09/22;2;0,093;R
ES0000000000006641CCPF;03/09/22;3;0,092;R
ES0000000000006641CCPF;03/09/22;4;0,091;R
ES0000000000006641CCPF;03/09/22;5;0,082;R
ES0000000000006641CCPF;03/09/22;6;0,128;R
ES0000000000006641CCPF;03/09/22;7;0,079;R
ES0000000000006641CCPF;03/09/22;8;0,062;R
ES0000000000006641CCPF;03/09/22;9;0,063;R
ES0000000000006641CCPF;03/09/22;10;0,075;R
ES0000000000006641CCPF;03/09/22;11;0,076;R
ES0000000000006641CCPF;03/09/22;12;0,071;R
ES0000000000006641CCPF;03/09/22;13;0,06;R
ES0000000000006641CCPF;03/09/22;14;0,058;R
ES0000000000006641CCPF;03/09/22;15;0,074;R
ES0000000000006641CCPF;03/09/22;16;0,111;R
ES0000000000006641CCPF;03/09/22;17;0,104;R
ES0000000000006641CCPF;03/09/22;18;0,061;R
ES0000000000006641CCPF;03/09/22;19;0,064;R
ES0000000000006641CCPF;03/09/22;20;0,074;R
ES0000000000006641CCPF;03/09/22;21;0,073;R
ES0000000000006641CCPF;03/09/22;22;0,071;R
ES0000000000006641CCPF;03/09/22;23;0,057;R
ES0000000000006641CCPF;04/09/22;0;0,057;R
ES0000000000006641CCPF;04/09/22;1;0,074;R
ES0000000000006641CCPF;04/09/22;2;0,071;R
ES0000000000006641CCPF;04/09/22;3;0,06;R
ES0000000000006641CCPF;04/09/22;4;0,054;R
ES0000000000006641CCPF;04/09/22;5;0,073;R
ES0000000000006641CCPF;04/09/22;6;0,074;R
ES0000000000006641CCPF;04/09/22;7;0,059;R
ES0000000000006641CCPF;04/09/22;8;0,052;R
ES0000000000006641CCPF;04/09/22;9;0,071;R
ES0000000000006641CCPF;04/09/22;10;0,07;R
ES0000000000006641CCPF;04/09/22;11;0,112;R
ES0000000000006641CCPF;04/09/22;12;0,074;R
ES0000000000006641CCPF;04/09/22;13;0,073;R
ES0000000000006641CCPF;04/09/22;14;0,062;R
ES0000000000006641CCPF;04/09/22;15;0,055;R
ES0000000000006641CCPF;04/09/22;16;0,064;R
ES0000000000006641CCPF;04/09/22;17;0,073;R
ES0000000000006641CCPF;04/09/22;18;0,07;R
ES0000000000006641CCPF;04/09/22;19;0,064;R
ES0000000000006641CCPF;04/09/22;20;0,581;R
ES0000000000006641CCPF;04/09/22;21;0,224;R
ES0000000000006641CCPF;04/09/22;22;0,135;R
ES0000000000006641CCPF;04/09/22;23;0,129;R
ES0000000000006641CCPF;05/09/22;0;0,076;R
ES0000000000006641CCPF;05/09/22;1;0,075;R
ES0000000000006641CCPF;05/09/22;2;0,072;R
