CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000005585CCPF;01/09/22;1;0,074;R
ES0000000000005585CCPF;01/09/22;2;0,137;R
ES0000000000005585CCPF;01/09/22;3;0,127;R
ES0000000000005585CCPF;01/09/22;4;0,091;R
ES0000000000005585CCPF;01/09/22;5;0,15;R
ES0000000000005585CCPF;01/09/22;6;0,065;R
ES0000000000005585CCPF;01/09/22;7;0,148;R
ES0000000000005585CCPF;01/09/22;8;0,182;R
ES0000000000005585CCPF;01/09/22;9;0,193;R
ES0000000000005585CCPF;01/09/22;10;0,145;R
ES0000000000005585CCPF;01/09/22;11;0,112;R
ES0000000000005585CCPF;01/09/22;12;0,099;R
ES0000000000005585CCPF;01/09/22;13;0,149;R
ES0000000000005585CCPF;01/09/22;14;0,104;R
ES0000000000005585CCPF;01/09/22;15;0,157;R
ES0000000000005585CCPF;01/09/22;16;1,197;R
ES0000000000005585CCPF;01/09/22;17;0,747;R
ES0000000000005585CCPF;01/09/22;18;0,163;R
ES0000000000005585CCPF;01/09/22;19;0,073;R
ES0000000000005585CCPF;01/09/22;20;0,221;R
ES0000000000005585CCPF;01/09/22;21;0,253;R
ES0000000000005585CCPF;01/09/22;22;0,233;R
ES0000000000005585CCPF;01/09/22;23;0,217;R
ES0000000000005585CCPF;02/09/22;0;0,104;R
ES0000000000005585CCPF;02/09/22;1;0,115;R
ES0000000000005585CCPF;02/09/22;2;0,148;R
ES0000000000005585CCPF;02/09/22;3;0,055;R
ES0000000000005585CCPF;02/09/22;4;0,15;R
ES0000000000005585CCPF;02/09/22;5;0,105;R
ES0000000000005585CCPF;02/09/22;6;0,094;R
ES0000000000005585CCPF;02/09/22;7;0,146;R
ES0000000000005585CCPF;02/09/22;8;0,054;R
ES0000000000005585CCPF;02/09/22;9;0,198;R
ES0000000000005585CCPF;02/09/22;10;0,177;R
ES0000000000005585CCPF;02/09/22;11;0,16;R
ES0000000000005585CCPF;02/09/22;12;0,142;R
ES0000000000005585CCPF;02/09/22;13;0,149;R
ES0000000000005585CCPF;02/09/22;14;0,068;R
ES0000000000005585CCPF;02/09/22;15;0,482;R
ES0000000000005585CCPF;02/09/22;16;0,243;R
ES0000000000005585CCPF;02/09/22;17;0,146;R
