CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004593CCPF;01/09/2022;1;0,348;R
ES0000000000004593CCPF;01/09/2022;2;0,341;R
ES0000000000004593CCPF;01/09/2022;3;0,337;R
ES0000000000004593CCPF;01/09/2022;4;0,272;R
ES0000000000004593CCPF;01/09/2022;5;0,228;R
ES0000000000004593CCPF;01/09/2022;6;0,174;R
ES0000000000004593CCPF;01/09/2022;7;0,189;R
ES0000000000004593CCPF;01/09/2022;8;0,19;R
ES0000000000004593CCPF;01/09/2022;9;0,14;R
ES0000000000004593CCPF;01/09/2022;10;0,121;R
ES0000000000004593CCPF;01/09/2022;11;0,154;R
ES0000000000004593CCPF;01/09/2022;12;0,185;R
ES0000000000004593CCPF;01/09/2022;13;0,176;R
ES0000000000004593CCPF;01/09/2022;14;0,287;R
ES0000000000004593CCPF;01/09/2022;15;0,285;R
ES0000000000004593CCPF;01/09/2022;16;0,336;R
ES0000000000004593CCPF;01/09/2022;17;0,267;R
ES0000000000004593CCPF;01/09/2022;18;0,257;R
ES0000000000004593CCPF;01/09/2022;19;0,211;R
ES0000000000004593CCPF;01/09/2022;20;0,306;R
ES0000000000004593CCPF;01/09/2022;21;0,36;R
ES0000000000004593CCPF;01/09/2022;22;0,351;R
ES0000000000004593CCPF;01/09/2022;23;0,299;R
ES0000000000004593CCPF;02/09/2022;0;0,283;R
ES0000000000004593CCPF;02/09/2022;1;0,442;R
ES0000000000004593CCPF;02/09/2022;2;0,318;R
ES0000000000004593CCPF;02/09/2022;3;0,309;R
ES0000000000004593CCPF;02/09/2022;4;0,224;R
ES0000000000004593CCPF;02/09/2022;5;0,137;R
ES0000000000004593CCPF;02/09/2022;6;0,087;R
ES0000000000004593CCPF;02/09/2022;7;0,094;R
ES0000000000004593CCPF;02/09/2022;8;0,094;R
ES0000000000004593CCPF;02/09/2022;9;0,084;R
ES0000000000004593CCPF;02/09/2022;10;0,163;R
ES0000000000004593CCPF;02/09/2022;11;0,167;R
ES0000000000004593CCPF;02/09/2022;12;0,152;R
ES0000000000004593CCPF;02/09/2022;13;0,182;R
ES0000000000004593CCPF;02/09/2022;14;0,162;R
ES0000000000004593CCPF;02/09/2022;15;0,179;R
ES0000000000004593CCPF;02/09/2022;16;0,174;R
ES0000000000004593CCPF;02/09/2022;17;0,127;R
ES0000000000004593CCPF;02/09/2022;18;0,154;R
ES0000000000004593CCPF;02/09/2022;19;0,167;R
ES0000000000004593CCPF;02/09/2022;20;0,176;R
ES0000000000004593CCPF;02/09/2022;21;0,24;R
ES0000000000004593CCPF;02/09/2022;22;0,086;R
ES0000000000004593CCPF;02/09/2022;23;0,097;R
ES0000000000004593CCPF;03/09/2022;0;0,142;R
ES0000000000004593CCPF;03/09/2022;1;0,223;R
ES0000000000004593CCPF;03/09/2022;2;0,274;R
ES0000000000004593CCPF;03/09/2022;3;0,293;R
ES0000000000004593CCPF;03/09/2022;4;0,213;R
ES0000000000004593CCPF;03/09/2022;5;0,106;R
ES0000000000004593CCPF;03/09/2022;6;0,097;R
ES0000000000004593CCPF;03/09/2022;7;0,103;R
ES0000000000004593CCPF;03/09/2022;8;0,17;R
ES0000000000004593CCPF;03/09/2022;9;0,123;R
ES0000000000004593CCPF;03/09/2022;10;0,116;R
ES0000000000004593CCPF;03/09/2022;11;0,146;R
ES0000000000004593CCPF;03/09/2022;12;0,176;R
ES0000000000004593CCPF;03/09/2022;13;0,162;R
ES0000000000004593CCPF;03/09/2022;14;0,148;R
ES0000000000004593CCPF;03/09/2022;15;0,176;R
ES0000000000004593CCPF;03/09/2022;16;0,199;R
ES0000000000004593CCPF;03/09/2022;17;0,195;R
ES0000000000004593CCPF;03/09/2022;18;0,246;R
ES0000000000004593CCPF;03/09/2022;19;0,2;R
ES0000000000004593CCPF;03/09/2022;20;0,263;R
ES0000000000004593CCPF;03/09/2022;21;0,32;R
ES0000000000004593CCPF;03/09/2022;22;0,348;R
ES0000000000004593CCPF;03/09/2022;23;0,405;R
ES0000000000004593CCPF;04/09/2022;0;0,228;R
ES0000000000004593CCPF;04/09/2022;1;0,17;R
ES0000000000004593CCPF;04/09/2022;2;0,161;R
ES0000000000004593CCPF;04/09/2022;3;0,225;R
ES0000000000004593CCPF;04/09/2022;4;0,2;R
ES0000000000004593CCPF;04/09/2022;5;0,34;R
ES0000000000004593CCPF;04/09/2022;6;0,258;R
ES0000000000004593CCPF;04/09/2022;7;0,2;R
ES0000000000004593CCPF;04/09/2022;8;0,169;R
ES0000000000004593CCPF;04/09/2022;9;0,141;R
ES0000000000004593CCPF;04/09/2022;10;0,13;R
ES0000000000004593CCPF;04/09/2022;11;0,112;R
ES0000000000004593CCPF;04/09/2022;12;0,312;R
ES0000000000004593CCPF;04/09/2022;13;0,309;R
ES0000000000004593CCPF;04/09/2022;14;0,201;R
ES0000000000004593CCPF;04/09/2022;15;0,637;R
ES0000000000004593CCPF;04/09/2022;16;0,621;R
ES0000000000004593CCPF;04/09/2022;17;0,277;R
ES0000000000004593CCPF;04/09/2022;18;0,346;R
ES0000000000004593CCPF;04/09/2022;19;0,271;R
ES0000000000004593CCPF;04/09/2022;20;0,195;R
ES0000000000004593CCPF;04/09/2022;21;0,148;R
ES0000000000004593CCPF;04/09/2022;22;0,309;R
ES0000000000004593CCPF;04/09/2022;23;0,894;R
ES0000000000004593CCPF;05/09/2022;0;0,238;R
ES0000000000004593CCPF;05/09/2022;1;0,246;R
ES0000000000004593CCPF;05/09/2022;2;0,262;R
