CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000005998CCPF;01/09/22;1;0,083;R
ES0000000000005998CCPF;01/09/22;2;0,076;R
ES0000000000005998CCPF;01/09/22;3;0,114;R
ES0000000000005998CCPF;01/09/22;4;0,091;R
ES0000000000005998CCPF;01/09/22;5;0,078;R
ES0000000000005998CCPF;01/09/22;6;0,084;R
ES0000000000005998CCPF;01/09/22;7;0,067;R
ES0000000000005998CCPF;01/09/22;8;0,09;R
ES0000000000005998CCPF;01/09/22;9;0,067;R
ES0000000000005998CCPF;01/09/22;10;0,088;R
ES0000000000005998CCPF;01/09/22;11;0,07;R
ES0000000000005998CCPF;01/09/22;12;0,08;R
ES0000000000005998CCPF;01/09/22;13;0,075;R
ES0000000000005998CCPF;01/09/22;14;0,073;R
ES0000000000005998CCPF;01/09/22;15;0,083;R
ES0000000000005998CCPF;01/09/22;16;0,072;R
ES0000000000005998CCPF;01/09/22;17;0,084;R
ES0000000000005998CCPF;01/09/22;18;0,067;R
ES0000000000005998CCPF;01/09/22;19;0,089;R
ES0000000000005998CCPF;01/09/22;20;0,067;R
ES0000000000005998CCPF;01/09/22;21;0,086;R
ES0000000000005998CCPF;01/09/22;22;0,07;R
ES0000000000005998CCPF;01/09/22;23;0,078;R
ES0000000000005998CCPF;02/09/22;0;0,078;R
ES0000000000005998CCPF;02/09/22;1;0,073;R
ES0000000000005998CCPF;02/09/22;2;0,084;R
ES0000000000005998CCPF;02/09/22;3;0,073;R
ES0000000000005998CCPF;02/09/22;4;0,084;R
ES0000000000005998CCPF;02/09/22;5;0,067;R
ES0000000000005998CCPF;02/09/22;6;0,09;R
ES0000000000005998CCPF;02/09/22;7;0,068;R
ES0000000000005998CCPF;02/09/22;8;0,086;R
ES0000000000005998CCPF;02/09/22;9;0,071;R
ES0000000000005998CCPF;02/09/22;10;0,077;R
ES0000000000005998CCPF;02/09/22;11;0,079;R
ES0000000000005998CCPF;02/09/22;12;0,072;R
ES0000000000005998CCPF;02/09/22;13;0,083;R
ES0000000000005998CCPF;02/09/22;14;0,07;R
ES0000000000005998CCPF;02/09/22;15;0,086;R
ES0000000000005998CCPF;02/09/22;16;0,068;R
ES0000000000005998CCPF;02/09/22;17;0,086;R
ES0000000000005998CCPF;02/09/22;18;0,069;R
ES0000000000005998CCPF;02/09/22;19;0,078;R
ES0000000000005998CCPF;02/09/22;20;0,078;R
ES0000000000005998CCPF;02/09/22;21;0,073;R
ES0000000000005998CCPF;02/09/22;22;0,083;R
ES0000000000005998CCPF;02/09/22;23;0,071;R
ES0000000000005998CCPF;03/09/22;0;0,085;R
ES0000000000005998CCPF;03/09/22;1;0,067;R
ES0000000000005998CCPF;03/09/22;2;0,089;R
ES0000000000005998CCPF;03/09/22;3;0,067;R
ES0000000000005998CCPF;03/09/22;4;0,081;R
ES0000000000005998CCPF;03/09/22;5;0,077;R
ES0000000000005998CCPF;03/09/22;6;0,074;R
ES0000000000005998CCPF;03/09/22;7;0,084;R
ES0000000000005998CCPF;03/09/22;8;0,071;R
ES0000000000005998CCPF;03/09/22;9;0,085;R
ES0000000000005998CCPF;03/09/22;10;0,067;R
ES0000000000005998CCPF;03/09/22;11;0,085;R
ES0000000000005998CCPF;03/09/22;12;0,071;R
ES0000000000005998CCPF;03/09/22;13;0,074;R
ES0000000000005998CCPF;03/09/22;14;0,081;R
ES0000000000005998CCPF;03/09/22;15;0,073;R
ES0000000000005998CCPF;03/09/22;16;0,084;R
ES0000000000005998CCPF;03/09/22;17;0,067;R
ES0000000000005998CCPF;03/09/22;18;0,087;R
ES0000000000005998CCPF;03/09/22;19;0,07;R
ES0000000000005998CCPF;03/09/22;20;0,075;R
ES0000000000005998CCPF;03/09/22;21;0,08;R
ES0000000000005998CCPF;03/09/22;22;0,072;R
