CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000003289CCPF;01/09/2022;1;0,083;R
ES0000000000003289CCPF;01/09/2022;2;0,084;R
ES0000000000003289CCPF;01/09/2022;3;0,076;R
ES0000000000003289CCPF;01/09/2022;4;0,072;R
ES0000000000003289CCPF;01/09/2022;5;0,076;R
ES0000000000003289CCPF;01/09/2022;6;0,092;R
ES0000000000003289CCPF;01/09/2022;7;0,09;R
ES0000000000003289CCPF;01/09/2022;8;0,085;R
ES0000000000003289CCPF;01/09/2022;9;0,079;R
ES0000000000003289CCPF;01/09/2022;10;0,084;R
ES0000000000003289CCPF;01/09/2022;11;0,079;R
ES0000000000003289CCPF;01/09/2022;12;0,069;R
ES0000000000003289CCPF;01/09/2022;13;0,068;R
ES0000000000003289CCPF;01/09/2022;14;0,085;R
ES0000000000003289CCPF;01/09/2022;15;0,091;R
ES0000000000003289CCPF;01/09/2022;16;0,089;R
ES0000000000003289CCPF;01/09/2022;17;0,09;R
ES0000000000003289CCPF;01/09/2022;18;0,086;R
ES0000000000003289CCPF;01/09/2022;19;0,079;R
ES0000000000003289CCPF;01/09/2022;20;0,072;R
ES0000000000003289CCPF;01/09/2022;21;0,071;R
ES0000000000003289CCPF;01/09/2022;22;0,083;R
ES0000000000003289CCPF;01/09/2022;23;0,087;R
ES0000000000003289CCPF;02/09/2022;0;0,089;R
ES0000000000003289CCPF;02/09/2022;1;0,089;R
ES0000000000003289CCPF;02/09/2022;2;0,092;R
ES0000000000003289CCPF;02/09/2022;3;0,076;R
ES0000000000003289CCPF;02/09/2022;4;0,068;R
ES0000000000003289CCPF;02/09/2022;5;0,076;R
ES0000000000003289CCPF;02/09/2022;6;0,079;R
ES0000000000003289CCPF;02/09/2022;7;0,081;R
ES0000000000003289CCPF;02/09/2022;8;0,081;R
ES0000000000003289CCPF;02/09/2022;9;0,087;R
ES0000000000003289CCPF;02/09/2022;10;0,086;R
ES0000000000003289CCPF;02/09/2022;11;0,087;R
ES0000000000003289CCPF;02/09/2022;12;0,077;R
ES0000000000003289CCPF;02/09/2022;13;0,069;R
ES0000000000003289CCPF;02/09/2022;14;0,067;R
ES0000000000003289CCPF;02/09/2022;15;0,08;R
ES0000000000003289CCPF;02/09/2022;16;0,084;R
ES0000000000003289CCPF;02/09/2022;17;0,081;R
ES0000000000003289CCPF;02/09/2022;18;0,088;R
ES0000000000003289CCPF;02/09/2022;19;0,089;R
ES0000000000003289CCPF;02/09/2022;20;0,088;R
ES0000000000003289CCPF;02/09/2022;21;0,073;R
ES0000000000003289CCPF;02/09/2022;22;0,068;R
ES0000000000003289CCPF;02/09/2022;23;0,078;R
ES0000000000003289CCPF;03/09/2022;0;0,081;R
ES0000000000003289CCPF;03/09/2022;1;0,082;R
ES0000000000003289CCPF;03/09/2022;2;0,08;R
ES0000000000003289CCPF;03/09/2022;3;0,087;R
ES0000000000003289CCPF;03/09/2022;4;0,088;R
ES0000000000003289CCPF;03/09/2022;5;0,075;R
ES0000000000003289CCPF;03/09/2022;6;0,075;R
ES0000000000003289CCPF;03/09/2022;7;0,08;R
ES0000000000003289CCPF;03/09/2022;8;0,076;R
ES0000000000003289CCPF;03/09/2022;9;0,078;R
ES0000000000003289CCPF;03/09/2022;10;0,08;R
ES0000000000003289CCPF;03/09/2022;11;0,076;R
ES0000000000003289CCPF;03/09/2022;12;0,077;R
ES0000000000003289CCPF;03/09/2022;13;0,083;R
ES0000000000003289CCPF;03/09/2022;14;0,076;R
ES0000000000003289CCPF;03/09/2022;15;0,074;R
ES0000000000003289CCPF;03/09/2022;16;0,085;R
ES0000000000003289CCPF;03/09/2022;17;0,078;R
ES0000000000003289CCPF;03/09/2022;18;0,083;R
ES0000000000003289CCPF;03/09/2022;19;0,082;R
ES0000000000003289CCPF;03/09/2022;20;0,08;R
ES0000000000003289CCPF;03/09/2022;21;0,073;R
ES0000000000003289CCPF;03/09/2022;22;0,072;R
ES0000000000003289CCPF;03/09/2022;23;0,076;R
ES0000000000003289CCPF;04/09/2022;0;0,087;R
ES0000000000003289CCPF;04/09/2022;1;0,087;R
ES0000000000003289CCPF;04/09/2022;2;0,08;R
ES0000000000003289CCPF;04/09/2022;3;0,079;R
ES0000000000003289CCPF;04/09/2022;4;0,08;R
ES0000000000003289CCPF;04/09/2022;5;0,078;R
ES0000000000003289CCPF;04/09/2022;6;0,073;R
ES0000000000003289CCPF;04/09/2022;7;0,066;R
ES0000000000003289CCPF;04/09/2022;8;0,077;R
ES0000000000003289CCPF;04/09/2022;9;0,089;R
ES0000000000003289CCPF;04/09/2022;10;0,083;R
ES0000000000003289CCPF;04/09/2022;11;0,08;R
ES0000000000003289CCPF;04/09/2022;12;0,076;R
ES0000000000003289CCPF;04/09/2022;13;0,077;R
ES0000000000003289CCPF;04/09/2022;14;0,076;R
ES0000000000003289CCPF;04/09/2022;15;0,069;R
ES0000000000003289CCPF;04/09/2022;16;0,152;R
ES0000000000003289CCPF;04/09/2022;17;0,669;R
ES0000000000003289CCPF;04/09/2022;18;0,168;R
ES0000000000003289CCPF;04/09/2022;19;0,14;R
ES0000000000003289CCPF;04/09/2022;20;0,31;R
ES0000000000003289CCPF;04/09/2022;21;0,41;R
ES0000000000003289CCPF;04/09/2022;22;0,219;R
ES0000000000003289CCPF;04/09/2022;23;1,071;R
ES0000000000003289CCPF;05/09/2022;0;0,297;R
ES0000000000003289CCPF;05/09/2022;1;0,417;R
ES0000000000003289CCPF;05/09/2022;2;0,183;R
ES0000000000003289CCPF;05/09/2022;3;0,12;R
ES0000000000003289CCPF;05/09/2022;4;0,11;R
ES0000000000003289CCPF;05/09/2022;5;0,101;R
ES0000000000003289CCPF;05/09/2022;6;0,108;R
ES0000000000003289CCPF;05/09/2022;7;0,101;R
ES0000000000003289CCPF;05/09/2022;8;0,378;R
ES0000000000003289CCPF;05/09/2022;9;0,302;R
ES0000000000003289CCPF;05/09/2022;10;0,163;R
ES0000000000003289CCPF;05/09/2022;11;0,122;R
ES0000000000003289CCPF;05/09/2022;12;0,094;R
ES0000000000003289CCPF;05/09/2022;13;0,094;R
ES0000000000003289CCPF;05/09/2022;14;0,09;R
ES0000000000003289CCPF;05/09/2022;15;0,086;R
ES0000000000003289CCPF;05/09/2022;16;0,094;R
ES0000000000003289CCPF;05/09/2022;17;0,104;R
ES0000000000003289CCPF;05/09/2022;18;0,595;R
ES0000000000003289CCPF;05/09/2022;19;0,163;R
ES0000000000003289CCPF;05/09/2022;20;0,148;R
ES0000000000003289CCPF;05/09/2022;21;0,319;R
ES0000000000003289CCPF;05/09/2022;22;0,145;R
ES0000000000003289CCPF;05/09/2022;23;0,107;R
ES0000000000003289CCPF;06/09/2022;0;0,107;R
ES0000000000003289CCPF;06/09/2022;1;0,158;R
ES0000000000003289CCPF;06/09/2022;2;0,115;R
ES0000000000003289CCPF;06/09/2022;3;0,092;R
ES0000000000003289CCPF;06/09/2022;4;0,102;R
ES0000000000003289CCPF;06/09/2022;5;0,084;R
ES0000000000003289CCPF;06/09/2022;6;0,087;R
ES0000000000003289CCPF;06/09/2022;7;0,286;R
ES0000000000003289CCPF;06/09/2022;8;0,298;R
ES0000000000003289CCPF;06/09/2022;9;0,187;R
ES0000000000003289CCPF;06/09/2022;10;0,131;R
ES0000000000003289CCPF;06/09/2022;11;0,091;R
ES0000000000003289CCPF;06/09/2022;12;0,1;R
ES0000000000003289CCPF;06/09/2022;13;0,104;R
ES0000000000003289CCPF;06/09/2022;14;0,084;R
ES0000000000003289CCPF;06/09/2022;15;0,078;R
ES0000000000003289CCPF;06/09/2022;16;0,088;R
ES0000000000003289CCPF;06/09/2022;17;0,094;R
ES0000000000003289CCPF;06/09/2022;18;0,1;R
ES0000000000003289CCPF;06/09/2022;19;0,104;R
ES0000000000003289CCPF;06/09/2022;20;0,107;R
ES0000000000003289CCPF;06/09/2022;21;0,251;R
ES0000000000003289CCPF;06/09/2022;22;0,269;R
ES0000000000003289CCPF;06/09/2022;23;0,158;R
ES0000000000003289CCPF;07/09/2022;0;0,142;R
ES0000000000003289CCPF;07/09/2022;1;0,111;R
ES0000000000003289CCPF;07/09/2022;2;0,108;R
ES0000000000003289CCPF;07/09/2022;3;0,105;R
ES0000000000003289CCPF;07/09/2022;4;0,086;R
ES0000000000003289CCPF;07/09/2022;5;0,082;R
ES0000000000003289CCPF;07/09/2022;6;0,088;R
ES0000000000003289CCPF;07/09/2022;7;0,097;R
ES0000000000003289CCPF;07/09/2022;8;0,538;R
ES0000000000003289CCPF;07/09/2022;9;0,421;R
ES0000000000003289CCPF;07/09/2022;10;0,125;R
ES0000000000003289CCPF;07/09/2022;11;0,122;R
ES0000000000003289CCPF;07/09/2022;12;0,13;R
ES0000000000003289CCPF;07/09/2022;13;0,115;R
ES0000000000003289CCPF;07/09/2022;14;0,105;R
ES0000000000003289CCPF;07/09/2022;15;0,176;R
ES0000000000003289CCPF;07/09/2022;16;0,128;R
ES0000000000003289CCPF;07/09/2022;17;0,113;R
ES0000000000003289CCPF;07/09/2022;18;0,333;R
ES0000000000003289CCPF;07/09/2022;19;0,153;R
ES0000000000003289CCPF;07/09/2022;20;0,2;R
ES0000000000003289CCPF;07/09/2022;21;0,14;R
ES0000000000003289CCPF;07/09/2022;22;0,13;R
ES0000000000003289CCPF;07/09/2022;23;0,758;R
ES0000000000003289CCPF;08/09/2022;0;0,2;R
ES0000000000003289CCPF;08/09/2022;1;0,118;R
ES0000000000003289CCPF;08/09/2022;2;0,574;R
ES0000000000003289CCPF;08/09/2022;3;0,112;R
ES0000000000003289CCPF;08/09/2022;4;0,292;R
ES0000000000003289CCPF;08/09/2022;5;0,518;R
ES0000000000003289CCPF;08/09/2022;6;0,106;R
ES0000000000003289CCPF;08/09/2022;7;0,1;R
ES0000000000003289CCPF;08/09/2022;8;0,338;R
ES0000000000003289CCPF;08/09/2022;9;0,334;R
ES0000000000003289CCPF;08/09/2022;10;0,119;R
ES0000000000003289CCPF;08/09/2022;11;0,091;R
ES0000000000003289CCPF;08/09/2022;12;0,157;R
ES0000000000003289CCPF;08/09/2022;13;0,111;R
ES0000000000003289CCPF;08/09/2022;14;0,108;R
ES0000000000003289CCPF;08/09/2022;15;0,109;R
ES0000000000003289CCPF;08/09/2022;16;0,098;R
ES0000000000003289CCPF;08/09/2022;17;0,086;R
ES0000000000003289CCPF;08/09/2022;18;0,091;R
ES0000000000003289CCPF;08/09/2022;19;0,978;R
ES0000000000003289CCPF;08/09/2022;20;0,133;R
ES0000000000003289CCPF;08/09/2022;21;0,267;R
ES0000000000003289CCPF;08/09/2022;22;0,157;R
ES0000000000003289CCPF;08/09/2022;23;0,14;R
ES0000000000003289CCPF;09/09/2022;0;0,118;R
ES0000000000003289CCPF;09/09/2022;1;0,105;R
ES0000000000003289CCPF;09/09/2022;2;0,092;R
ES0000000000003289CCPF;09/09/2022;3;0,087;R
ES0000000000003289CCPF;09/09/2022;4;0,094;R
ES0000000000003289CCPF;09/09/2022;5;0,102;R
ES0000000000003289CCPF;09/09/2022;6;0,108;R
ES0000000000003289CCPF;09/09/2022;7;0,107;R
ES0000000000003289CCPF;09/09/2022;8;0,187;R
ES0000000000003289CCPF;09/09/2022;9;0,323;R
ES0000000000003289CCPF;09/09/2022;10;0,1;R
ES0000000000003289CCPF;09/09/2022;11;0,163;R
ES0000000000003289CCPF;09/09/2022;12;0,124;R
ES0000000000003289CCPF;09/09/2022;13;0,111;R
ES0000000000003289CCPF;09/09/2022;14;0,105;R
ES0000000000003289CCPF;09/09/2022;15;0,683;R
ES0000000000003289CCPF;09/09/2022;16;0,29;R
ES0000000000003289CCPF;09/09/2022;17;0,199;R
ES0000000000003289CCPF;09/09/2022;18;0,123;R
ES0000000000003289CCPF;09/09/2022;19;0,139;R
ES0000000000003289CCPF;09/09/2022;20;0,108;R
ES0000000000003289CCPF;09/09/2022;21;0,08;R
ES0000000000003289CCPF;09/09/2022;22;0,158;R
ES0000000000003289CCPF;09/09/2022;23;0,272;R
ES0000000000003289CCPF;10/09/2022;0;0,158;R
ES0000000000003289CCPF;10/09/2022;1;0,102;R
ES0000000000003289CCPF;10/09/2022;2;0,095;R
ES0000000000003289CCPF;10/09/2022;3;0,105;R
ES0000000000003289CCPF;10/09/2022;4;0,11;R
ES0000000000003289CCPF;10/09/2022;5;0,108;R
ES0000000000003289CCPF;10/09/2022;6;0,106;R
ES0000000000003289CCPF;10/09/2022;7;0,084;R
ES0000000000003289CCPF;10/09/2022;8;0,099;R
ES0000000000003289CCPF;10/09/2022;9;0,13;R
ES0000000000003289CCPF;10/09/2022;10;0,349;R
ES0000000000003289CCPF;10/09/2022;11;0,414;R
ES0000000000003289CCPF;10/09/2022;12;0,207;R
ES0000000000003289CCPF;10/09/2022;13;0,108;R
ES0000000000003289CCPF;10/09/2022;14;0,125;R
ES0000000000003289CCPF;10/09/2022;15;0,123;R
ES0000000000003289CCPF;10/09/2022;16;0,121;R
