CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000004752CCPF;01/09/2022;1;0,052;R
ES0000000000004752CCPF;01/09/2022;2;0,049;R
ES0000000000004752CCPF;01/09/2022;3;0,05;R
ES0000000000004752CCPF;01/09/2022;4;0,064;R
ES0000000000004752CCPF;01/09/2022;5;0,066;R
ES0000000000004752CCPF;01/09/2022;6;0,067;R
ES0000000000004752CCPF;01/09/2022;7;0,066;R
ES0000000000004752CCPF;01/09/2022;8;0,061;R
ES0000000000004752CCPF;01/09/2022;9;0,049;R
ES0000000000004752CCPF;01/09/2022;10;0,048;R
ES0000000000004752CCPF;01/09/2022;11;0,053;R
ES0000000000004752CCPF;01/09/2022;12;0,064;R
ES0000000000004752CCPF;01/09/2022;13;0,063;R
ES0000000000004752CCPF;01/09/2022;14;0,07;R
ES0000000000004752CCPF;01/09/2022;15;0,064;R
ES0000000000004752CCPF;01/09/2022;16;0,06;R
ES0000000000004752CCPF;01/09/2022;17;0,046;R
ES0000000000004752CCPF;01/09/2022;18;0,043;R
ES0000000000004752CCPF;01/09/2022;19;0,054;R
ES0000000000004752CCPF;01/09/2022;20;0,064;R
ES0000000000004752CCPF;01/09/2022;21;0,064;R
ES0000000000004752CCPF;01/09/2022;22;0,065;R
ES0000000000004752CCPF;01/09/2022;23;0,057;R
ES0000000000004752CCPF;02/09/2022;0;0,047;R
ES0000000000004752CCPF;02/09/2022;1;0,046;R
ES0000000000004752CCPF;02/09/2022;2;0,062;R
ES0000000000004752CCPF;02/09/2022;3;0,066;R
ES0000000000004752CCPF;02/09/2022;4;0,066;R
ES0000000000004752CCPF;02/09/2022;5;0,065;R
ES0000000000004752CCPF;02/09/2022;6;0,048;R
ES0000000000004752CCPF;02/09/2022;7;0,045;R
ES0000000000004752CCPF;02/09/2022;8;0,052;R
ES0000000000004752CCPF;02/09/2022;9;0,065;R
ES0000000000004752CCPF;02/09/2022;10;0,065;R
ES0000000000004752CCPF;02/09/2022;11;0,065;R
ES0000000000004752CCPF;02/09/2022;12;0,057;R
ES0000000000004752CCPF;02/09/2022;13;0,044;R
ES0000000000004752CCPF;02/09/2022;14;0,044;R
ES0000000000004752CCPF;02/09/2022;15;0,056;R
ES0000000000004752CCPF;02/09/2022;16;0,062;R
ES0000000000004752CCPF;02/09/2022;17;0,062;R
ES0000000000004752CCPF;02/09/2022;18;0,094;R
ES0000000000004752CCPF;02/09/2022;19;0,067;R
ES0000000000004752CCPF;02/09/2022;20;0,043;R
ES0000000000004752CCPF;02/09/2022;21;0,06;R
ES0000000000004752CCPF;02/09/2022;22;0,064;R
ES0000000000004752CCPF;02/09/2022;23;0,066;R
ES0000000000004752CCPF;03/09/2022;0;0,065;R
ES0000000000004752CCPF;03/09/2022;1;0,051;R
ES0000000000004752CCPF;03/09/2022;2;0,045;R
ES0000000000004752CCPF;03/09/2022;3;0,046;R
ES0000000000004752CCPF;03/09/2022;4;0,064;R
ES0000000000004752CCPF;03/09/2022;5;0,064;R
ES0000000000004752CCPF;03/09/2022;6;0,064;R
ES0000000000004752CCPF;03/09/2022;7;0,063;R
ES0000000000004752CCPF;03/09/2022;8;0,046;R
ES0000000000004752CCPF;03/09/2022;9;0,044;R
ES0000000000004752CCPF;03/09/2022;10;0,052;R
ES0000000000004752CCPF;03/09/2022;11;0,063;R
ES0000000000004752CCPF;03/09/2022;12;0,062;R
ES0000000000004752CCPF;03/09/2022;13;0,061;R
ES0000000000004752CCPF;03/09/2022;14;0,052;R
ES0000000000004752CCPF;03/09/2022;15;0,042;R
ES0000000000004752CCPF;03/09/2022;16;0,041;R
ES0000000000004752CCPF;03/09/2022;17;0,056;R
ES0000000000004752CCPF;03/09/2022;18;0,061;R
ES0000000000004752CCPF;03/09/2022;19;0,061;R
ES0000000000004752CCPF;03/09/2022;20;0,06;R
ES0000000000004752CCPF;03/09/2022;21;0,044;R
ES0000000000004752CCPF;03/09/2022;22;0,04;R
ES0000000000004752CCPF;03/09/2022;23;0,05;R
ES0000000000004752CCPF;04/09/2022;0;0,062;R
ES0000000000004752CCPF;04/09/2022;1;0,063;R
ES0000000000004752CCPF;04/09/2022;2;0,062;R
ES0000000000004752CCPF;04/09/2022;3;0,055;R
ES0000000000004752CCPF;04/09/2022;4;0,042;R
ES0000000000004752CCPF;04/09/2022;5;0,043;R
ES0000000000004752CCPF;04/09/2022;6;0,06;R
ES0000000000004752CCPF;04/09/2022;7;0,062;R
ES0000000000004752CCPF;04/09/2022;8;0,062;R
ES0000000000004752CCPF;04/09/2022;9;0,062;R
ES0000000000004752CCPF;04/09/2022;10;0,043;R
ES0000000000004752CCPF;04/09/2022;11;0,042;R
ES0000000000004752CCPF;04/09/2022;12;0,051;R
ES0000000000004752CCPF;04/09/2022;13;0,058;R
ES0000000000004752CCPF;04/09/2022;14;0,059;R
ES0000000000004752CCPF;04/09/2022;15;0,06;R
ES0000000000004752CCPF;04/09/2022;16;0,047;R
ES0000000000004752CCPF;04/09/2022;17;0,039;R
ES0000000000004752CCPF;04/09/2022;18;0,042;R
ES0000000000004752CCPF;04/09/2022;19;0,058;R
ES0000000000004752CCPF;04/09/2022;20;0,059;R
ES0000000000004752CCPF;04/09/2022;21;0,059;R
ES0000000000004752CCPF;04/09/2022;22;0,053;R
ES0000000000004752CCPF;04/09/2022;23;0,042;R
ES0000000000004752CCPF;05/09/2022;0;0,04;R
ES0000000000004752CCPF;05/09/2022;1;0,06;R
ES0000000000004752CCPF;05/09/2022;2;0,061;R
ES0000000000004752CCPF;05/09/2022;3;0,061;R
ES0000000000004752CCPF;05/09/2022;4;0,06;R
ES0000000000004752CCPF;05/09/2022;5;0,041;R
ES0000000000004752CCPF;05/09/2022;6;0,039;R
ES0000000000004752CCPF;05/09/2022;7;0,056;R
ES0000000000004752CCPF;05/09/2022;8;0,06;R
ES0000000000004752CCPF;05/09/2022;9;0,061;R
ES0000000000004752CCPF;05/09/2022;10;0,061;R
ES0000000000004752CCPF;05/09/2022;11;0,036;R
ES0000000000004752CCPF;05/09/2022;12;0,04;R
ES0000000000004752CCPF;05/09/2022;13;0,058;R
ES0000000000004752CCPF;05/09/2022;14;0,058;R
ES0000000000004752CCPF;05/09/2022;15;0,058;R
ES0000000000004752CCPF;05/09/2022;16;0,049;R
ES0000000000004752CCPF;05/09/2022;17;0,036;R
ES0000000000004752CCPF;05/09/2022;18;0,041;R
ES0000000000004752CCPF;05/09/2022;19;0,058;R
ES0000000000004752CCPF;05/09/2022;20;0,059;R
ES0000000000004752CCPF;05/09/2022;21;0,069;R
ES0000000000004752CCPF;05/09/2022;22;0,09;R
ES0000000000004752CCPF;05/09/2022;23;0,069;R
ES0000000000004752CCPF;06/09/2022;0;0,038;R
ES0000000000004752CCPF;06/09/2022;1;0,06;R
ES0000000000004752CCPF;06/09/2022;2;0,061;R
ES0000000000004752CCPF;06/09/2022;3;0,061;R
ES0000000000004752CCPF;06/09/2022;4;0,058;R
ES0000000000004752CCPF;06/09/2022;5;0,041;R
ES0000000000004752CCPF;06/09/2022;6;0,039;R
ES0000000000004752CCPF;06/09/2022;7;0,056;R
ES0000000000004752CCPF;06/09/2022;8;0,061;R
ES0000000000004752CCPF;06/09/2022;9;0,06;R
ES0000000000004752CCPF;06/09/2022;10;0,059;R
ES0000000000004752CCPF;06/09/2022;11;0,038;R
ES0000000000004752CCPF;06/09/2022;12;0,038;R
ES0000000000004752CCPF;06/09/2022;13;0,062;R
ES0000000000004752CCPF;06/09/2022;14;0,113;R
ES0000000000004752CCPF;06/09/2022;15;1,285;R
ES0000000000004752CCPF;06/09/2022;16;1,552;R
ES0000000000004752CCPF;06/09/2022;17;0,922;R
ES0000000000004752CCPF;06/09/2022;18;0,137;R
ES0000000000004752CCPF;06/09/2022;19;0,083;R
ES0000000000004752CCPF;06/09/2022;20;0,071;R
ES0000000000004752CCPF;06/09/2022;21;0,471;R
ES0000000000004752CCPF;06/09/2022;22;0,329;R
ES0000000000004752CCPF;06/09/2022;23;0,139;R
ES0000000000004752CCPF;07/09/2022;0;0,176;R
ES0000000000004752CCPF;07/09/2022;1;0,661;R
ES0000000000004752CCPF;07/09/2022;2;0,077;R
ES0000000000004752CCPF;07/09/2022;3;0,076;R
ES0000000000004752CCPF;07/09/2022;4;0,064;R
ES0000000000004752CCPF;07/09/2022;5;0,07;R
ES0000000000004752CCPF;07/09/2022;6;0,077;R
ES0000000000004752CCPF;07/09/2022;7;0,121;R
ES0000000000004752CCPF;07/09/2022;8;0,114;R
ES0000000000004752CCPF;07/09/2022;9;0,292;R
ES0000000000004752CCPF;07/09/2022;10;0,11;R
ES0000000000004752CCPF;07/09/2022;11;0,203;R
ES0000000000004752CCPF;07/09/2022;12;0,251;R
ES0000000000004752CCPF;07/09/2022;13;0,286;R
ES0000000000004752CCPF;07/09/2022;14;0,099;R
ES0000000000004752CCPF;07/09/2022;15;0,245;R
ES0000000000004752CCPF;07/09/2022;16;0,11;R
ES0000000000004752CCPF;07/09/2022;17;0,078;R
ES0000000000004752CCPF;07/09/2022;18;0,063;R
ES0000000000004752CCPF;07/09/2022;19;0,065;R
ES0000000000004752CCPF;07/09/2022;20;0,061;R
ES0000000000004752CCPF;07/09/2022;21;0,096;R
ES0000000000004752CCPF;07/09/2022;22;0,217;R
ES0000000000004752CCPF;07/09/2022;23;0,19;R
ES0000000000004752CCPF;08/09/2022;0;0,112;R
ES0000000000004752CCPF;08/09/2022;1;0,067;R
ES0000000000004752CCPF;08/09/2022;2;0,261;R
ES0000000000004752CCPF;08/09/2022;3;1,545;R
ES0000000000004752CCPF;08/09/2022;4;0,086;R
ES0000000000004752CCPF;08/09/2022;5;0,066;R
ES0000000000004752CCPF;08/09/2022;6;0,062;R
ES0000000000004752CCPF;08/09/2022;7;0,064;R
ES0000000000004752CCPF;08/09/2022;8;0,658;R
ES0000000000004752CCPF;08/09/2022;9;0,567;R
ES0000000000004752CCPF;08/09/2022;10;0,063;R
ES0000000000004752CCPF;08/09/2022;11;0,067;R
ES0000000000004752CCPF;08/09/2022;12;0,076;R
ES0000000000004752CCPF;08/09/2022;13;0,145;R
ES0000000000004752CCPF;08/09/2022;14;0,116;R
ES0000000000004752CCPF;08/09/2022;15;0,624;R
ES0000000000004752CCPF;08/09/2022;16;0,278;R
ES0000000000004752CCPF;08/09/2022;17;0,209;R
ES0000000000004752CCPF;08/09/2022;18;0,074;R
ES0000000000004752CCPF;08/09/2022;19;0,079;R
ES0000000000004752CCPF;08/09/2022;20;0,086;R
ES0000000000004752CCPF;08/09/2022;21;0,124;R
ES0000000000004752CCPF;08/09/2022;22;0,199;R
ES0000000000004752CCPF;08/09/2022;23;0,187;R
ES0000000000004752CCPF;09/09/2022;0;0,119;R
ES0000000000004752CCPF;09/09/2022;1;0,105;R
ES0000000000004752CCPF;09/09/2022;2;0,067;R
ES0000000000004752CCPF;09/09/2022;3;1,29;R
ES0000000000004752CCPF;09/09/2022;4;0,107;R
ES0000000000004752CCPF;09/09/2022;5;0,052;R
ES0000000000004752CCPF;09/09/2022;6;0,07;R
ES0000000000004752CCPF;09/09/2022;7;0,064;R
ES0000000000004752CCPF;09/09/2022;8;0,341;R
ES0000000000004752CCPF;09/09/2022;9;0,298;R
ES0000000000004752CCPF;09/09/2022;10;0,068;R
ES0000000000004752CCPF;09/09/2022;11;0,07;R
ES0000000000004752CCPF;09/09/2022;12;0,064;R
ES0000000000004752CCPF;09/09/2022;13;0,063;R
ES0000000000004752CCPF;09/09/2022;14;0,062;R
ES0000000000004752CCPF;09/09/2022;15;0,501;R
ES0000000000004752CCPF;09/09/2022;16;0,622;R
ES0000000000004752CCPF;09/09/2022;17;0,067;R
ES0000000000004752CCPF;09/09/2022;18;0,116;R
ES0000000000004752CCPF;09/09/2022;19;0,077;R
ES0000000000004752CCPF;09/09/2022;20;0,071;R
ES0000000000004752CCPF;09/09/2022;21;0,096;R
ES0000000000004752CCPF;09/09/2022;22;0,189;R
ES0000000000004752CCPF;09/09/2022;23;0,179;R
ES0000000000004752CCPF;10/09/2022;0;0,159;R
ES0000000000004752CCPF;10/09/2022;1;0,072;R
ES0000000000004752CCPF;10/09/2022;2;0,069;R
ES0000000000004752CCPF;10/09/2022;3;1,243;R
ES0000000000004752CCPF;10/09/2022;4;0,067;R
ES0000000000004752CCPF;10/09/2022;5;0,065;R
ES0000000000004752CCPF;10/09/2022;6;0,066;R
ES0000000000004752CCPF;10/09/2022;7;0,066;R
ES0000000000004752CCPF;10/09/2022;8;0,455;R
ES0000000000004752CCPF;10/09/2022;9;0,174;R
ES0000000000004752CCPF;10/09/2022;10;0,055;R
ES0000000000004752CCPF;10/09/2022;11;0,075;R
ES0000000000004752CCPF;10/09/2022;12;0,22;R
ES0000000000004752CCPF;10/09/2022;13;0,359;R
ES0000000000004752CCPF;10/09/2022;14;0,074;R
ES0000000000004752CCPF;10/09/2022;15;0,204;R
ES0000000000004752CCPF;10/09/2022;16;0,428;R
ES0000000000004752CCPF;10/09/2022;17;0,13;R
ES0000000000004752CCPF;10/09/2022;18;0,436;R
ES0000000000004752CCPF;10/09/2022;19;0,073;R
ES0000000000004752CCPF;10/09/2022;20;0,079;R
ES0000000000004752CCPF;10/09/2022;21;0,051;R
ES0000000000004752CCPF;10/09/2022;22;0,05;R
ES0000000000004752CCPF;10/09/2022;23;0,201;R
ES0000000000004752CCPF;11/09/2022;0;0,233;R
ES0000000000004752CCPF;11/09/2022;1;0,067;R
ES0000000000004752CCPF;11/09/2022;2;0,106;R
ES0000000000004752CCPF;11/09/2022;3;1,453;R
ES0000000000004752CCPF;11/09/2022;4;0,056;R
ES0000000000004752CCPF;11/09/2022;5;0,082;R
ES0000000000004752CCPF;11/09/2022;6;0,068;R
ES0000000000004752CCPF;11/09/2022;7;0,035;R
ES0000000000004752CCPF;11/09/2022;8;0,371;R
ES0000000000004752CCPF;11/09/2022;9;0,136;R
ES0000000000004752CCPF;11/09/2022;10;0,376;R
ES0000000000004752CCPF;11/09/2022;11;0,09;R
ES0000000000004752CCPF;11/09/2022;12;1,172;R
ES0000000000004752CCPF;11/09/2022;13;0,129;R
ES0000000000004752CCPF;11/09/2022;14;0,142;R
ES0000000000004752CCPF;11/09/2022;15;0,149;R
ES0000000000004752CCPF;11/09/2022;16;0,08;R
ES0000000000004752CCPF;11/09/2022;17;0,109;R
ES0000000000004752CCPF;11/09/2022;18;0,096;R
ES0000000000004752CCPF;11/09/2022;19;0,63;R
ES0000000000004752CCPF;11/09/2022;20;0,389;R
ES0000000000004752CCPF;11/09/2022;21;0,073;R
ES0000000000004752CCPF;11/09/2022;22;0,252;R
ES0000000000004752CCPF;11/09/2022;23;0,156;R
ES0000000000004752CCPF;12/09/2022;0;0,419;R
ES0000000000004752CCPF;12/09/2022;1;0,143;R
ES0000000000004752CCPF;12/09/2022;2;0,419;R
ES0000000000004752CCPF;12/09/2022;3;0,703;R
ES0000000000004752CCPF;12/09/2022;4;0,057;R
ES0000000000004752CCPF;12/09/2022;5;0,138;R
ES0000000000004752CCPF;12/09/2022;6;0,065;R
ES0000000000004752CCPF;12/09/2022;7;0,07;R
ES0000000000004752CCPF;12/09/2022;8;0,296;R
ES0000000000004752CCPF;12/09/2022;9;0,223;R
ES0000000000004752CCPF;12/09/2022;10;0,075;R
ES0000000000004752CCPF;12/09/2022;11;0,07;R
ES0000000000004752CCPF;12/09/2022;12;0,049;R
ES0000000000004752CCPF;12/09/2022;13;0,074;R
ES0000000000004752CCPF;12/09/2022;14;0,364;R
ES0000000000004752CCPF;12/09/2022;15;0,25;R
ES0000000000004752CCPF;12/09/2022;16;0,1;R
ES0000000000004752CCPF;12/09/2022;17;0,107;R
ES0000000000004752CCPF;12/09/2022;18;0,074;R
ES0000000000004752CCPF;12/09/2022;19;0,103;R
ES0000000000004752CCPF;12/09/2022;20;0,146;R
ES0000000000004752CCPF;12/09/2022;21;0,256;R
ES0000000000004752CCPF;12/09/2022;22;0,125;R
ES0000000000004752CCPF;12/09/2022;23;0,119;R
ES0000000000004752CCPF;13/09/2022;0;0,138;R
ES0000000000004752CCPF;13/09/2022;1;0,222;R
ES0000000000004752CCPF;13/09/2022;2;0,293;R
ES0000000000004752CCPF;13/09/2022;3;1,417;R
ES0000000000004752CCPF;13/09/2022;4;0,104;R
ES0000000000004752CCPF;13/09/2022;5;0,05;R
ES0000000000004752CCPF;13/09/2022;6;0,059;R
ES0000000000004752CCPF;13/09/2022;7;0,062;R
ES0000000000004752CCPF;13/09/2022;8;0,347;R
ES0000000000004752CCPF;13/09/2022;9;0,318;R
ES0000000000004752CCPF;13/09/2022;10;0,239;R
ES0000000000004752CCPF;13/09/2022;11;0,083;R
ES0000000000004752CCPF;13/09/2022;12;0,038;R
ES0000000000004752CCPF;13/09/2022;13;0,071;R
ES0000000000004752CCPF;13/09/2022;14;0,127;R
ES0000000000004752CCPF;13/09/2022;15;0,417;R
ES0000000000004752CCPF;13/09/2022;16;0,105;R
ES0000000000004752CCPF;13/09/2022;17;0,104;R
ES0000000000004752CCPF;13/09/2022;18;0,109;R
ES0000000000004752CCPF;13/09/2022;19;0,062;R
ES0000000000004752CCPF;13/09/2022;20;0,079;R
ES0000000000004752CCPF;13/09/2022;21;0,175;R
ES0000000000004752CCPF;13/09/2022;22;0,161;R
ES0000000000004752CCPF;13/09/2022;23;0,172;R
ES0000000000004752CCPF;14/09/2022;0;0,097;R
ES0000000000004752CCPF;14/09/2022;1;0,097;R
ES0000000000004752CCPF;14/09/2022;2;0,097;R
ES0000000000004752CCPF;14/09/2022;3;1,547;R
ES0000000000004752CCPF;14/09/2022;4;0,067;R
ES0000000000004752CCPF;14/09/2022;5;0,041;R
ES0000000000004752CCPF;14/09/2022;6;0,065;R
ES0000000000004752CCPF;14/09/2022;7;0,073;R
ES0000000000004752CCPF;14/09/2022;8;0,379;R
ES0000000000004752CCPF;14/09/2022;9;0,468;R
ES0000000000004752CCPF;14/09/2022;10;0,191;R
ES0000000000004752CCPF;14/09/2022;11;0,07;R
ES0000000000004752CCPF;14/09/2022;12;0,094;R
ES0000000000004752CCPF;14/09/2022;13;0,241;R
ES0000000000004752CCPF;14/09/2022;14;0,456;R
ES0000000000004752CCPF;14/09/2022;15;0,333;R
ES0000000000004752CCPF;14/09/2022;16;0,108;R
